cre,Chlamydomonas reinhardtii
cln,Cunninghamia lanceolata
pab,Picea abies
pde,Pinus densata
pta,Pinus taeda
ppt,Physcomitrella patens
smo,Selaginella moellendorffii
atr,Amborella trichopoda
seu,Salicornia europaea
pgi,Panax ginseng
cca,Cynara cardunculus
han,Helianthus annuus
har,Helianthus argophyllus
hci,Helianthus ciliaris
hex,Helianthus exilis
hpa,Helianthus paradoxus
hpe,Helianthus petiolaris
htu,Helianthus tuberosus
aly,Arabidopsis lyrata
ath,Arabidopsis thaliana
bna,Brassica napus
bol,Brassica oleracea
bra,Brassica rapa
cas,Camelina sativa
cpa,Carica papaya
cme,Cucumis melo
cst,Cucumis sativus
hbr,Hevea brasiliensis
mes,Manihot esculenta
rco,Ricinus communis
aau,Acacia auriculiformis
amg,Acacia mangium
ahy,Arachis hypogaea
gma,Glycine max
gso,Glycine soja
lja,Lotus japonicus
mtr,Medicago truncatula
pvu,Phaseolus vulgaris
vun,Vigna unguiculata
ama,Avicennia marina
dpr,Digitalis purpurea
rgl,Rehmannia glutinosa
smi,Salvia miltiorrhiza
ssl,Salvia sclarea
lus,Linum usitatissimum
gar,Gossypium arboreum
ghb,Gossypium herbaceum
ghr,Gossypium hirsutum
gra,Gossypium raimondii
tcc,Theobroma cacao
eun,Eugenia uniflora
pla,Paeonia lactiflora
aqc,Aquilegia caerulea
bcy,Bruguiera cylindrica
bgy,Bruguiera gymnorhiza
fve,Fragaria vesca
mdm,Malus domestica
ppe,Prunus persica
ccl,Citrus clementina
crt,Citrus reticulata
csi,Citrus sinensis
ctr,Citrus trifoliata
peu,Populus euphratica
ptc,Populus trichocarpa
nta,Nicotiana tabacum
sly,Solanum lycopersicum
stu,Solanum tuberosum
vvi,Vitis vinifera
ata,Aegilops tauschii
aof,Asparagus officinalis
bdi,Brachypodium distachyon
egu,Elaeis guineensis
far,Festuca arundinacea
hvu,Hordeum vulgare
osa,Oryza sativa
sof,Saccharum officinarum
ssp,Saccharum sp.
sbi,Sorghum bicolor
tae,Triticum aestivum
ttu,Triticum turgidum
vca,Vriesea carinata
zma,Zea mays
