	aau	Acacia auriculiformis	Angiosperm	Dicotyledon	Fabaceae
	amg	Acacia mangium	Angiosperm	Dicotyledon	Fabaceae
acch	ach	Actinidia chinensis	Angiosperm	Dicotyledon	Actinidiaceae
aeta	ata	Aegilops tauschii	Angiosperm	Monocotyledon	Poaceae
agsq	asq	Agriophyllum squarrosum	Angiosperm	Dicotyledon	Chenopodiaceae
agmo	amn	Agropyron mongolicum	Angiosperm	Monocotyledon	Poaceae
amhy	amh	Amaranthus hypochondriacus	Angiosperm	Dicotyledon	Amaranthaceae
amtr	atr	Amborella trichopoda	Angiosperm	Dicotyledon	Amborellaceae
amna	ana	Ammopiptanthus nanus	Angiosperm	Dicotyledon	Fabaceae
anco	aco	Ananas comosus	Angiosperm	Monocotyledon	Bromeliaceae
	amj	Antirrhinum majus	Angiosperm	Dicotyledon	Plantaginaceae
	aqc	Aquilegia caerulea	Angiosperm	Dicotyledon	Ranunculaceae
	aha	Arabidopsis halleri	Angiosperm	Dicotyledon	Brassicaceae
arly	aly	Arabidopsis lyrata	Angiosperm	Dicotyledon	Brassicaceae
arth	ath	Arabidopsis thaliana	Angiosperm	Dicotyledon	Brassicaceae
ardu	adu	Arachis duranensis	Angiosperm	Dicotyledon	Fabaceae
	ahy	Arachis hypogaea	Angiosperm	Dicotyledon	Fabaceae
arip	aip	Arachis ipaensis	Angiosperm	Dicotyledon	Fabaceae
armo	amo	Arachis monticola	Angiosperm	Dicotyledon	Fabaceae
asof	aof	Asparagus officinalis	Angiosperm	Monocotyledon	Asparagaceae
	ama	Avicennia marina	Angiosperm	Dicotyledon	Acanthaceae
azfi	afi	Azolla filiculoides	Others	Others	Salviniaceae
bevu	bvu	Beta vulgaris	Angiosperm	Dicotyledon	Chenopodiaceae
bepe	bpe	Betula pendula	Angiosperm	Dicotyledon	Betulaceae
boni	bnv	Boehmeria nivea	Angiosperm	Dicotyledon	Urticaceae
brdi	bdi	Brachypodium distachyon	Angiosperm	Monocotyledon	Poaceae
brju	bju	Brassica juncea	Angiosperm	Dicotyledon	Brassicaceae
brna	bna	Brassica napus	Angiosperm	Dicotyledon	Brassicaceae
brni	bni	Brassica nigra	Angiosperm	Dicotyledon	Brassicaceae
brol	bol	Brassica oleracea	Angiosperm	Dicotyledon	Brassicaceae
brra	bra	Brassica rapa	Angiosperm	Dicotyledon	Brassicaceae
	bcy	Bruguiera cylindrica	Angiosperm	Dicotyledon	Rhizophoraceae
	bgy	Bruguiera gymnorhiza	Angiosperm	Dicotyledon	Rhizophoraceae
	ccj	Cajanus cajan	Angiosperm	Dicotyledon	Fabaceae
casa	cas	Camelina sativa	Angiosperm	Dicotyledon	Brassicaceae
casi	csn	Camellia sinensis	Angiosperm	Dicotyledon	Theaceae
caru	cru	Capsella rubella	Angiosperm	Dicotyledon	Brassicaceae
caan	can	Capsicum annuum	Angiosperm	Dicotyledon	Solanaceae
capa	cpa	Carica papaya	Angiosperm	Dicotyledon	Caricaceae
	cti	Carthamus tinctorius	Angiosperm	Dicotyledon	Asteraceae
caro	cro	Catharanthus roseus	Angiosperm	Dicotyledon	Apocynaceae
ceam	cam	Cenchrus americanus	Angiosperm	Monocotyledon	Poaceae
cepo	cfo	Cephalotus follicularis	Angiosperm	Dicotyledon	Cephalotaceae
chqu	cqu	Chenopodium quinoa	Angiosperm	Dicotyledon	Chenopodiaceae
chre	cre	Chlamydomonas reinhardtii	Others	Others	Chlamydomonadaceae
chna	cna	Chrysanthemum nankingense	Angiosperm	Dicotyledon	Asteraceae
ciar	car	Cicer arietinum	Angiosperm	Dicotyledon	Fabaceae
	cri	Cicer reticulatum	Angiosperm	Dicotyledon	Fabaceae
cila	cla	Citrullus lanatus	Angiosperm	Dicotyledon	Cucurbitaceae
ciau	cau	Citrus aurantifolia	Angiosperm	Dicotyledon	Rutaceae
cicl	ccl	Citrus clementina	Angiosperm	Dicotyledon	Rutaceae
cigr	cgr	Citrus grandis	Angiosperm	Dicotyledon	Rutaceae
ciju	cju	Citrus junos	Angiosperm	Dicotyledon	Rutaceae
	cit	Citrus maxima	Angiosperm	Dicotyledon	Rutaceae
	crt	Citrus reticulata	Angiosperm	Dicotyledon	Rutaceae
cisi	csi	Citrus sinensis	Angiosperm	Dicotyledon	Rutaceae
citr	ctr	Citrus trifoliata	Angiosperm	Dicotyledon	Rutaceae
conu	cnu	Cocos nucifera	Angiosperm	Monocotyledon	Arecaceae
	caa	Coffea arabica	Angiosperm	Dicotyledon	Rubiaceae
coca	ccn	Coffea canephora	Angiosperm	Dicotyledon	Rubiaceae
cume	cme	Cucumis melo	Angiosperm	Dicotyledon	Cucurbitaceae
cusa	cst	Cucumis sativus	Angiosperm	Dicotyledon	Cucurbitaceae
cuma	cma	Cucurbita maxima	Angiosperm	Dicotyledon	Cucurbitaceae
cumo	cmo	Cucurbita moschata	Angiosperm	Dicotyledon	Cucurbitaceae
cupe	cpe	Cucurbita pepo	Angiosperm	Dicotyledon	Cucurbitaceae
	cln	Cunninghamia lanceolata	Gymnosperm	Others	Cupressaceae
	ccm	Cuscuta campestris	Angiosperm	Dicotyledon	Convolvulaceae
	cca	Cynara cardunculus	Angiosperm	Dicotyledon	Asteraceae
daca	dca	Daucus carota	Angiosperm	Dicotyledon	Apiaceae
deca	dct	Dendrobium catenatum	Angiosperm	Monocotyledon	Orchidaceae
deof	dof	Dendrobium officinale	Angiosperm	Monocotyledon	Orchidaceae
	dpr	Digitalis purpurea	Angiosperm	Dicotyledon	Plantaginaceae
dilo	dlo	Dimocarpus longan	Angiosperm	Dicotyledon	Sapindaceae
elgu	egu	Elaeis guineensis	Angiosperm	Monocotyledon	Arecaceae
elco	eco	Eleusine coracana	Angiosperm	Monocotyledon	Poaceae
erte	ete	Eragrostis tef	Angiosperm	Monocotyledon	Poaceae
	egt	Erythranthe guttata	Angiosperm	Dicotyledon	Phrymaceae
eugr	egr	Eucalyptus grandis	Angiosperm	Dicotyledon	Myrtaceae
	eun	Eugenia uniflora	Angiosperm	Dicotyledon	Myrtaceae
	esa	Eutrema salsugineum	Angiosperm	Dicotyledon	Brassicaceae
faes	fes	Fagopyrum esculentum	Angiosperm	Dicotyledon	Polygonaceae
	fsy	Fagus sylvatica	Angiosperm	Dicotyledon	Fagaceae
	far	Festuca arundinacea	Angiosperm	Monocotyledon	Poaceae
fran	fan	Fragaria ananassa	Angiosperm	Dicotyledon	Rosaceae
frve	fve	Fragaria vesca	Angiosperm	Dicotyledon	Rosaceae
	fex	Fraxinus excelsior	Angiosperm	Dicotyledon	Oleaceae
gibi	gbi	Ginkgo biloba	Gymnosperm	Others	Ginkgoaceae
glma	gma	Glycine max	Angiosperm	Dicotyledon	Fabaceae
glso	gso	Glycine soja	Angiosperm	Dicotyledon	Fabaceae
goar	gar	Gossypium arboreum	Angiosperm	Dicotyledon	Malvaceae
goba	gba	Gossypium barbadense	Angiosperm	Dicotyledon	Malvaceae
	ghb	Gossypium herbaceum	Angiosperm	Dicotyledon	Malvaceae
gohi	ghr	Gossypium hirsutum	Angiosperm	Dicotyledon	Malvaceae
gora	gra	Gossypium raimondii	Angiosperm	Dicotyledon	Malvaceae
hean	han	Helianthus annuus	Angiosperm	Dicotyledon	Asteraceae
	har	Helianthus argophyllus	Angiosperm	Dicotyledon	Asteraceae
	hci	Helianthus ciliaris	Angiosperm	Dicotyledon	Asteraceae
	hex	Helianthus exilis	Angiosperm	Dicotyledon	Asteraceae
	hpa	Helianthus paradoxus	Angiosperm	Dicotyledon	Asteraceae
	hpe	Helianthus petiolaris	Angiosperm	Dicotyledon	Asteraceae
	htu	Helianthus tuberosus	Angiosperm	Dicotyledon	Asteraceae
hefu	hfu	Hemerocallis fulva	Angiosperm	Monocotyledon	Asphodelaceae
hebr	hbr	Hevea brasiliensis	Angiosperm	Dicotyledon	Euphorbiaceae
hisy	hsy	Hibiscus syriacus	Angiosperm	Dicotyledon	Malvaceae
hovu	hvu	Hordeum vulgare	Angiosperm	Monocotyledon	Poaceae
hulu	hlu	Humulus lupulus	Angiosperm	Dicotyledon	Cannabaceae
ipba	iba	Ipomoea batatas	Angiosperm	Dicotyledon	Convolvulaceae
jacu	jcu	Jatropha curcas	Angiosperm	Dicotyledon	Euphorbiaceae
jure	jre	Juglans regia	Angiosperm	Dicotyledon	Juglandaceae
kama	kma	Kalanchoe marnieriana	Angiosperm	Dicotyledon	Crassulaceae
lasa	lsa	Lactuca sativa	Angiosperm	Dicotyledon	Asteraceae
lasi	lsi	Lagenaria siceraria	Angiosperm	Dicotyledon	Cucurbitaceae
lius	lus	Linum usitatissimum	Angiosperm	Dicotyledon	Linaceae
lope	lpe	Lolium perenne	Angiosperm	Monocotyledon	Poaceae
loja	lja	Lotus japonicus	Angiosperm	Dicotyledon	Fabaceae
luan	lan	Lupinus angustifolius	Angiosperm	Dicotyledon	Fabaceae
	min	Macadamia integrifolia	Angiosperm	Dicotyledon	Proteaceae
mado	mdm	Malus domestica	Angiosperm	Dicotyledon	Rosaceae
masi	msi	Malus sieversii	Angiosperm	Dicotyledon	Rosaceae
	mid	Mangifera indica	Angiosperm	Dicotyledon	Anacardiaceae
maes	mes	Manihot esculenta	Angiosperm	Dicotyledon	Euphorbiaceae
mapo	mpo	Marchantia polymorpha	Others	Others	Marchantiaceae
meru	mru	Medicago ruthenica	Angiosperm	Dicotyledon	Fabaceae
mesa	msa	Medicago sativa	Angiosperm	Dicotyledon	Fabaceae
metr	mtr	Medicago truncatula	Angiosperm	Dicotyledon	Fabaceae
misi	msn	Miscanthus sinensis	Angiosperm	Monocotyledon	Poaceae
mool	mol	Moringa oleifera	Angiosperm	Dicotyledon	Moringaceae
moal	mal	Morus alba	Angiosperm	Dicotyledon	Moraceae
mono	mno	Morus notabilis	Angiosperm	Dicotyledon	Moraceae
muac	mac	Musa acuminata	Angiosperm	Monocotyledon	Musaceae
nenu	nnu	Nelumbo nucifera	Angiosperm	Dicotyledon	Nelumbonaceae
niat	nat	Nicotiana attenuata	Angiosperm	Dicotyledon	Solanaceae
nibe	nbe	Nicotiana benthamiana	Angiosperm	Dicotyledon	Solanaceae
nita	nta	Nicotiana tabacum	Angiosperm	Dicotyledon	Solanaceae
oleu	oeu	Olea europaea	Angiosperm	Olea europaea	Oleaceae
onvi	ovi	Onobrychis viciifolia	Angiosperm	Dicotyledon	Fabaceae
orba	oba	Oryza barthii	Angiosperm	Monocotyledon	Poaceae
orgl	ogl	Oryza glaberrima	Angiosperm	Monocotyledon	Poaceae
orni	oni	Oryza nivara	Angiosperm	Monocotyledon	Poaceae
orru	oru	Oryza rufipogon	Angiosperm	Monocotyledon	Poaceae
orsa	osa	Oryza sativa	Angiosperm	Monocotyledon	Poaceae
	pla	Paeonia lactiflora	Angiosperm	Dicotyledon	Paeoniaceae
	pgi	Panax ginseng	Angiosperm	Dicotyledon	Araliaceae
pano	pno	Panax notoginseng	Angiosperm	Dicotyledon	Araliaceae
	pha	Panicum hallii	Angiosperm	Monocotyledon	Poaceae
pavi	pvi	Panicum virgatum	Angiosperm	Monocotyledon	Poaceae
peam	pam	Persea americana	Angiosperm	Dicotyledon	Lauraceae
pham	paa	Phalaenopsis amabilis	Angiosperm	Monocotyledon	Orchidaceae
phap	pap	Phalaenopsis aphrodite	Angiosperm	Monocotyledon	Orchidaceae
phvu	pvu	Phaseolus vulgaris	Angiosperm	Dicotyledon	Fabaceae
phda	pda	Phoenix dactylifera	Angiosperm	Monocotyledon	Arecaceae
phau	pau	Phyllostachys aureosulcata	Angiosperm	Monocotyledon	Poaceae
phhe	phe	Phyllostachys heterocycla	Angiosperm	Monocotyledon	Poaceae
phpa	ppt	Physcomitrella patens	Others	Others	Funariaceae
piab	pab	Picea abies	Gymnosperm	Others	Pinaceae
	pde	Pinus densata	Gymnosperm	Others	Pinaceae
pima	pma	Pinus massoniana	Gymnosperm	Others	Pinaceae
pipi	ppi	Pinus pinaster	Gymnosperm	Others	Pinaceae
	pta	Pinus taeda	Gymnosperm	Others	Pinaceae
pini	pni	Piper nigrum	Angiosperm	Dicotyledon	Piperaceae
pisa	psa	Pisum sativum	Angiosperm	Dicotyledon	Fabaceae
poca	pca	Pogostemon cablin	Angiosperm	Dicotyledon	Lamiaceae
poal	pal	Populus alba	Angiosperm	Dicotyledon	Salicaceae
pode	pdl	Populus deltoides 	Angiosperm	Dicotyledon	Salicaceae
	peu	Populus euphratica	Angiosperm	Dicotyledon	Salicaceae
	ptr	Populus tremula	Angiosperm	Dicotyledon	Salicaceae
potr	ptc	Populus trichocarpa	Angiosperm	Dicotyledon	Salicaceae
prav	pav	Prunus avium	Angiosperm	Dicotyledon	Rosaceae
prdu	pdu	Prunus dulcis	Angiosperm	Dicotyledon	Rosaceae
prpe	ppe	Prunus persica	Angiosperm	Dicotyledon	Rosaceae
pugr	pgr	Punica granatum	Angiosperm	Dicotyledon	Lythraceae
pybr	pbr	Pyrus bretschneideri	Angiosperm	Dicotyledon	Rosaceae
	qro	Quercus robur	Gymnosperm	Others	Fagaceae
rasa	rsa	Raphanus sativus	Angiosperm	Dicotyledon	Brassicaceae
	rgl	Rehmannia glutinosa	Angiosperm	Dicotyledon	Orobanchaceae
rhbi	rbi	Rhaphiolepis bibas	Angiosperm	Dicotyledon	Rosaceae
rico	rco	Ricinus communis	Angiosperm	Dicotyledon	Euphorbiaceae
sahy	scu	Saccharum hybrid cultivar	Angiosperm	Monocotyledon	Poaceae
	sof	Saccharum officinarum	Angiosperm	Monocotyledon	Poaceae
sasp	ssp	Saccharum spontaneum	Angiosperm	Monocotyledon	Poaceae
	seu	Salicornia europaea	Angiosperm	Dicotyledon	Chenopodiaceae
sami	smi	Salvia miltiorrhiza	Angiosperm	Dicotyledon	Lamiaceae
	ssl	Salvia sclarea	Angiosperm	Dicotyledon	Lamiaceae
	scc	Salvinia cucullata	Others	Others	Salviniaceae
semo	smo	Selaginella moellendorffii	Others	Others	Selaginellaceae
sein	sin	Sesamum indicum	Angiosperm	Dicotyledon	Pedaliaceae
seit	sit	Setaria italica	Angiosperm	Monocotyledon	Poaceae
	sla	Silene latifolia	Angiosperm	Dicotyledon	Caryophyllaceae
soaj	saj	Solanum ajanhuiri	Angiosperm	Dicotyledon	Solanaceae
	sha	Solanum habrochaites	Angiosperm	Dicotyledon	Solanaceae
soly	sly	Solanum lycopersicum	Angiosperm	Dicotyledon	Solanaceae
some	sme	Solanum melongena	Angiosperm	Dicotyledon	Solanaceae
sope	spe	Solanum pennellii	Angiosperm	Dicotyledon	Solanaceae
sopi	spi	Solanum pimpinellifolium	Angiosperm	Dicotyledon	Solanaceae
sotu	stu	Solanum tuberosum	Angiosperm	Dicotyledon	Solanaceae
sobi	sbi	Sorghum bicolor	Angiosperm	Monocotyledon	Poaceae
spol	sol	Spinacia oleracea	Angiosperm	Dicotyledon	Chenopodiaceae
sppo	spo	Spirodela polyrhiza	Angiosperm	Monocotyledon	Araceae
taha	tha	Tarenaya hassleriana	Angiosperm	Dicotyledon	Cleomaceae
thca	tcc	Theobroma cacao	Angiosperm	Dicotyledon	Malvaceae
trae	tae	Triticum aestivum	Angiosperm	Monocotyledon	Poaceae
trtu	ttu	Triticum turgidum	Angiosperm	Monocotyledon	Poaceae
trur	tur	Triticum urartu	Angiosperm	Monocotyledon	Poaceae
vaco	vco	Vaccinium corymbosum	Angiosperm	Dicotyledon	Ericaceae
visa	vsa	Vicia sativa	Angiosperm	Dicotyledon	Fabaceae
vira	vra	Vigna radiata	Angiosperm	Dicotyledon	Fabaceae
	vun	Vigna unguiculata	Angiosperm	Dicotyledon	Fabaceae
viri	vri	Vitis riparia	Angiosperm	Dicotyledon	Vitaceae
vivi	vvi	Vitis vinifera	Angiosperm	Dicotyledon	Vitaceae
	vca	Volvox carteri	Others	Others	Volvocaceae
	vcr	Vriesea carinata	Angiosperm	Monocotyledon	Bromeliaceae
zema	zma	Zea mays	Angiosperm	Monocotyledon	Poaceae
ziju	zju	Ziziphus jujuba	Angiosperm	Dicotyledon	Rhamnaceae
zoma	zos	Zostera marina	Angiosperm	Monocotyledon	Zosteraceae
