Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
agmo, PRJNA742257, SRR15041375, treated, drought, 1, L.0, 48h, CV.0, leaves, three-leaf-stage, G.0, single
agmo, PRJNA742257, SRR15041376, treated, drought, 3, L.0, 24h, CV.0, leaves, three-leaf-stage, G.0, single
agmo, PRJNA742257, SRR15041377, treated, drought, 2, L.0, 24h, CV.0, leaves, three-leaf-stage, G.0, single
agmo, PRJNA742257, SRR15041378, treated, drought, 1, L.0, 24h, CV.0, leaves, three-leaf-stage, G.0, single
agmo, PRJNA742257, SRR15041379, treated, drought, 3, L.0, 12h, CV.0, leaves, three-leaf-stage, G.0, single
agmo, PRJNA742257, SRR15041380, treated, drought, 2, L.0, 12h, CV.0, leaves, three-leaf-stage, G.0, single
agmo, PRJNA742257, SRR15041381, treated, drought, 1, L.0, 12h, CV.0, leaves, three-leaf-stage, G.0, single
agmo, PRJNA742257, SRR15041385, treated, drought, 3, L.0, 7d, CV.0, leaves, three-leaf-stage, G.0, single
agmo, PRJNA742257, SRR15041386, control, drought, 3, L.0, 0h, CV.0, leaves, three-leaf-stage, G.0, single
agmo, PRJNA742257, SRR15041387, treated, drought, 2, L.0, 7d, CV.0, leaves, three-leaf-stage, G.0, single
agmo, PRJNA742257, SRR15041388, treated, drought, 1, L.0, 7d, CV.0, leaves, three-leaf-stage, G.0, single
agmo, PRJNA742257, SRR15041389, treated, drought, 3, L.0, 5d, CV.0, leaves, three-leaf-stage, G.0, single
agmo, PRJNA742257, SRR15041390, treated, drought, 2, L.0, 5d, CV.0, leaves, three-leaf-stage, G.0, single
agmo, PRJNA742257, SRR15041391, treated, drought, 1, L.0, 5d, CV.0, leaves, three-leaf-stage, G.0, single
agmo, PRJNA742257, SRR15041392, treated, drought, 3, L.0, 3d, CV.0, leaves, three-leaf-stage, G.0, single
agmo, PRJNA742257, SRR15041393, treated, drought, 2, L.0, 3d, CV.0, leaves, three-leaf-stage, G.0, single
agmo, PRJNA742257, SRR15041394, treated, drought, 1, L.0, 3d, CV.0, leaves, three-leaf-stage, G.0, single
agmo, PRJNA742257, SRR15041395, treated, drought, 3, L.0, 48h, CV.0, leaves, three-leaf-stage, G.0, single
agmo, PRJNA742257, SRR15041396, treated, drought, 2, L.0, 48h, CV.0, leaves, three-leaf-stage, G.0, single
agmo, PRJNA742257, SRR15041397, control, drought, 2, L.0, 0h, CV.0, leaves, three-leaf-stage, G.0, single
agmo, PRJNA742257, SRR15041398, control, drought, 1, L.0, 0h, CV.0, leaves, three-leaf-stage, G.0, single
