Group	Species	Project	Run	Treatment	Replicate	Level	Time	Cultivar	Tissue	Stage	Genotype	Batch	Test	Design	DesignRef	DesignRed	Contrast
1	Arabidopsis thaliana	PRJNA277424	SRR1848791	None	1	70%	T.0	Col-0	rosette-leaves	27d	G.0	B.0	Wald	~ Level	Level(70%)	DR.0	CT.0
1	Arabidopsis thaliana	PRJNA277424	SRR1848792	None	2	70%	T.0	Col-0	rosette-leaves	27d	G.0	B.0	Wald	~ Level	Level(70%)	DR.0	CT.0
1	Arabidopsis thaliana	PRJNA277424	SRR1848793	None	3	70%	T.0	Col-0	rosette-leaves	27d	G.0	B.0	Wald	~ Level	Level(70%)	DR.0	CT.0
1	Arabidopsis thaliana	PRJNA277424	SRR1848794	drought	1	30%	T.0	Col-0	rosette-leaves	27d	G.0	B.0	Wald	~ Level	Level(70%)	DR.0	CT.0
1	Arabidopsis thaliana	PRJNA277424	SRR1848795	drought	2	30%	T.0	Col-0	rosette-leaves	27d	G.0	B.0	Wald	~ Level	Level(70%)	DR.0	CT.0
1	Arabidopsis thaliana	PRJNA277424	SRR1848796	drought	3	30%	T.0	Col-0	rosette-leaves	27d	G.0	B.0	Wald	~ Level	Level(70%)	DR.0	CT.0
2	Arabidopsis thaliana	PRJNA277424	SRR1848797	None	1	70%	T.0	Col-0	rosette-leaves	30d	G.0	B.0	Wald	~ Level	Level(70%)	DR.0	CT.0
2	Arabidopsis thaliana	PRJNA277424	SRR1848798	None	2	70%	T.0	Col-0	rosette-leaves	30d	G.0	B.0	Wald	~ Level	Level(70%)	DR.0	CT.0
2	Arabidopsis thaliana	PRJNA277424	SRR1848799	None	3	70%	T.0	Col-0	rosette-leaves	30d	G.0	B.0	Wald	~ Level	Level(70%)	DR.0	CT.0
2	Arabidopsis thaliana	PRJNA277424	SRR1848800	drought	1	20%	T.0	Col-0	rosette-leaves	30d	G.0	B.0	Wald	~ Level	Level(70%)	DR.0	CT.0
2	Arabidopsis thaliana	PRJNA277424	SRR1848801	drought	2	20%	T.0	Col-0	rosette-leaves	30d	G.0	B.0	Wald	~ Level	Level(70%)	DR.0	CT.0
2	Arabidopsis thaliana	PRJNA277424	SRR1848802	drought	3	20%	T.0	Col-0	rosette-leaves	30d	G.0	B.0	Wald	~ Level	Level(70%)	DR.0	CT.0
3	Arabidopsis thaliana	PRJNA277424	SRR1848803	None	1	L.0	0h	Col-0	seedling	15d	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
3	Arabidopsis thaliana	PRJNA277424	SRR1848804	None	2	L.0	0h	Col-0	seedling	15d	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
3	Arabidopsis thaliana	PRJNA277424	SRR1848805	None	3	L.0	0h	Col-0	seedling	15d	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
3	Arabidopsis thaliana	PRJNA277424	SRR1848806	heat	1	37ºC	0.5h	Col-0	seedling	15d	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
3	Arabidopsis thaliana	PRJNA277424	SRR1848807	heat	2	37ºC	0.5h	Col-0	seedling	15d	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
3	Arabidopsis thaliana	PRJNA277424	SRR1848808	heat	3	37ºC	0.5h	Col-0	seedling	15d	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
3	Arabidopsis thaliana	PRJNA277424	SRR1848809	heat	1	37ºC	6h	Col-0	seedling	15d	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
3	Arabidopsis thaliana	PRJNA277424	SRR1848810	heat	2	37ºC	6h	Col-0	seedling	15d	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
3	Arabidopsis thaliana	PRJNA277424	SRR1848811	heat	3	37ºC	6h	Col-0	seedling	15d	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
4	Arabidopsis thaliana	PRJNA277424	SRR1848812	None	1	L.0	T.0	Col-0	seedling	15d	G.0	B.0	Wald	~ Treatment	Treatment(None)	DR.0	CT.0
4	Arabidopsis thaliana	PRJNA277424	SRR1848813	None	2	L.0	T.0	Col-0	seedling	15d	G.0	B.0	Wald	~ Treatment	Treatment(None)	DR.0	CT.0
4	Arabidopsis thaliana	PRJNA277424	SRR1848814	None	3	L.0	T.0	Col-0	seedling	15d	G.0	B.0	Wald	~ Treatment	Treatment(None)	DR.0	CT.0
4	Arabidopsis thaliana	PRJNA277424	SRR1848815	salt	1	250mM	24h	Col-0	seedling	15d	G.0	B.0	Wald	~ Treatment	Treatment(None)	DR.0	CT.0
4	Arabidopsis thaliana	PRJNA277424	SRR1848816	salt	2	250mM	24h	Col-0	seedling	15d	G.0	B.0	Wald	~ Treatment	Treatment(None)	DR.0	CT.0
4	Arabidopsis thaliana	PRJNA277424	SRR1848817	salt	3	250mM	24h	Col-0	seedling	15d	G.0	B.0	Wald	~ Treatment	Treatment(None)	DR.0	CT.0
4	Arabidopsis thaliana	PRJNA277424	SRR1848818	copper-deficiency	1	L.0	24h	Col-0	seedling	15d	G.0	B.0	Wald	~ Treatment	Treatment(None)	DR.0	CT.0
4	Arabidopsis thaliana	PRJNA277424	SRR1848819	copper-deficiency	2	L.0	24h	Col-0	seedling	15d	G.0	B.0	Wald	~ Treatment	Treatment(None)	DR.0	CT.0
4	Arabidopsis thaliana	PRJNA277424	SRR1848820	copper-deficiency	3	L.0	24h	Col-0	seedling	15d	G.0	B.0	Wald	~ Treatment	Treatment(None)	DR.0	CT.0
4	Arabidopsis thaliana	PRJNA277424	SRR1848821	copper-excess	1	10uM	24h	Col-0	seedling	15d	G.0	B.0	Wald	~ Treatment	Treatment(None)	DR.0	CT.0
4	Arabidopsis thaliana	PRJNA277424	SRR1848822	copper-excess	2	10uM	24h	Col-0	seedling	15d	G.0	B.0	Wald	~ Treatment	Treatment(None)	DR.0	CT.0
4	Arabidopsis thaliana	PRJNA277424	SRR1848823	copper-excess	3	10uM	24h	Col-0	seedling	15d	G.0	B.0	Wald	~ Treatment	Treatment(None)	DR.0	CT.0
4	Arabidopsis thaliana	PRJNA277424	SRR1848824	cadmium-excess	1	10uM	24h	Col-0	seedling	15d	G.0	B.0	Wald	~ Treatment	Treatment(None)	DR.0	CT.0
4	Arabidopsis thaliana	PRJNA277424	SRR1848825	cadmium-excess	2	10uM	24h	Col-0	seedling	15d	G.0	B.0	Wald	~ Treatment	Treatment(None)	DR.0	CT.0
4	Arabidopsis thaliana	PRJNA277424	SRR1848826	cadmium-excess	3	10uM	24h	Col-0	seedling	15d	G.0	B.0	Wald	~ Treatment	Treatment(None)	DR.0	CT.0
4	Arabidopsis thaliana	PRJNA277424	SRR1848827	sulfur-deficiency	1	L.0	24h	Col-0	seedling	15d	G.0	B.0	Wald	~ Treatment	Treatment(None)	DR.0	CT.0
4	Arabidopsis thaliana	PRJNA277424	SRR1848828	sulfur-deficiency	2	L.0	24h	Col-0	seedling	15d	G.0	B.0	Wald	~ Treatment	Treatment(None)	DR.0	CT.0
4	Arabidopsis thaliana	PRJNA277424	SRR1848829	sulfur-deficiency	3	L.0	24h	Col-0	seedling	15d	G.0	B.0	Wald	~ Treatment	Treatment(None)	DR.0	CT.0
