Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
bevu, PRJNA666142, SRR12729541, treated, salt, 1, 300nmol, 12h, CV.0, root, D.0, G.0, single
bevu, PRJNA666142, SRR12729542, control, salt, 3, L.0, 0h, CV.0, root, D.0, G.0, single
bevu, PRJNA666142, SRR12729543, control, salt, 2, L.0, 0h, CV.0, root, D.0, G.0, single
bevu, PRJNA666142, SRR12729544, control, salt, 1, L.0, 0h, CV.0, root, D.0, G.0, single
bevu, PRJNA666142, SRR12729545, treated, salt, 3, 300nmol, 12h, CV.0, leaves, D.0, G.0, single
bevu, PRJNA666142, SRR12729546, treated, salt, 2, 300nmol, 12h, CV.0, leaves, D.0, G.0, single
bevu, PRJNA666142, SRR12729547, treated, salt, 1, 300nmol, 12h, CV.0, leaves, D.0, G.0, single
bevu, PRJNA666142, SRR12729548, control, salt, 3, L.0, 0h, CV.0, leaves, D.0, G.0, single
bevu, PRJNA666142, SRR12729551, treated, salt, 3, 300nmol, 12h, CV.0, root, D.0, G.0, single
bevu, PRJNA666142, SRR12729552, treated, salt, 2, 300nmol, 12h, CV.0, root, D.0, G.0, single
bevu, PRJNA666142, SRR12729553, control, salt, 2, L.0, 0h, CV.0, leaves, D.0, G.0, single
bevu, PRJNA666142, SRR12729554, control, salt, 1, L.0, 0h, CV.0, leaves, D.0, G.0, single
