Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
brdi, PRJEB42392, ERR5052640, control, magnaporthe-oryzae, 1, L.0, 2d, Bd21-3, leaves, D.0, G.0, single
brdi, PRJEB42392, ERR5052642, control, magnaporthe-oryzae, 2, L.0, 2d, Bd21-3, leaves, D.0, G.0, single
brdi, PRJEB42392, ERR5052644, control, magnaporthe-oryzae, 3, L.0, 2d, Bd21-3, leaves, D.0, G.0, single
brdi, PRJEB42392, ERR5052646, control, magnaporthe-oryzae, 1, L.0, 4d, Bd21-3, leaves, D.0, G.0, single
brdi, PRJEB42392, ERR5052648, control, magnaporthe-oryzae, 2, L.0, 4d, Bd21-3, leaves, D.0, G.0, single
brdi, PRJEB42392, ERR5052650, control, magnaporthe-oryzae, 3, L.0, 4d, Bd21-3, leaves, D.0, G.0, single
brdi, PRJEB42392, ERR5052652, control, magnaporthe-oryzae, 1, L.0, T.0, Bd21-3, root, D.0, G.0, single
brdi, PRJEB42392, ERR5052654, control, magnaporthe-oryzae, 2, L.0, T.0, Bd21-3, root, D.0, G.0, single
brdi, PRJEB42392, ERR5052656, control, magnaporthe-oryzae, 3, L.0, T.0, Bd21-3, root, D.0, G.0, single
brdi, PRJEB42392, ERR5052664, treated, magnaporthe-oryzae, 1, L.0, 2d, Bd21-3, leaves, D.0, G.0, single
brdi, PRJEB42392, ERR5052666, treated, magnaporthe-oryzae, 2, L.0, 2d, Bd21-3, leaves, D.0, G.0, single
brdi, PRJEB42392, ERR5052668, treated, magnaporthe-oryzae, 3, L.0, 2d, Bd21-3, leaves, D.0, G.0, single
brdi, PRJEB42392, ERR5052670, treated, magnaporthe-oryzae, 1, L.0, 4d, Bd21-3, leaves, D.0, G.0, single
brdi, PRJEB42392, ERR5052672, treated, magnaporthe-oryzae, 2, L.0, 4d, Bd21-3, leaves, D.0, G.0, single
brdi, PRJEB42392, ERR5052674, treated, magnaporthe-oryzae, 3, L.0, 4d, Bd21-3, leaves, D.0, G.0, single
brdi, PRJEB42392, ERR5052676, treated, magnaporthe-oryzae, 1, L.0, T.0, Bd21-3, root, D.0, G.0, single
brdi, PRJEB42392, ERR5052678, treated, magnaporthe-oryzae, 2, L.0, T.0, Bd21-3, root, D.0, G.0, single
brdi, PRJEB42392, ERR5052680, treated, magnaporthe-oryzae, 3, L.0, T.0, Bd21-3, root, D.0, G.0, single
