Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
brdi, PRJNA445553, SRR6892987, treated, drought, 1, L.0, 12h, CV.0, above-ground-tissue, 21d, G.0, single
brdi, PRJNA445553, SRR6892988, treated, drought, 2, L.0, 12h, CV.0, above-ground-tissue, 21d, G.0, single
brdi, PRJNA445553, SRR6892989, control, drought:cold:foolding:heat, 1, L.0, 12h, CV.0, above-ground-tissue, 21d, G.0, single
brdi, PRJNA445553, SRR6892990, control, drought:cold:foolding:heat, 2, L.0, 12h, CV.0, above-ground-tissue, 21d, G.0, single
brdi, PRJNA445553, SRR6892991, treated, cold, 1, 4ºC, 12h, CV.0, above-ground-tissue, 21d, G.0, single
brdi, PRJNA445553, SRR6892992, treated, cold, 2, 4ºC, 12h, CV.0, above-ground-tissue, 21d, G.0, single
brdi, PRJNA445553, SRR6892993, treated, foolding, 1, waterlogging, 12h, CV.0, above-ground-tissue, 21d, G.0, single
brdi, PRJNA445553, SRR6892994, treated, foolding, 2, waterlogging, 12h, CV.0, above-ground-tissue, 21d, G.0, single
brdi, PRJNA445553, SRR6892995, treated, heat, 1, 40ºC, 12h, CV.0, above-ground-tissue, 21d, G.0, single
brdi, PRJNA445553, SRR6892996, treated, heat, 2, 40ºC, 12h, CV.0, above-ground-tissue, 21d, G.0, single
