Specie, Prject, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
brra, PRJNA513391, SRR8414111, control, cadmium-excess, 2, 0uM, 0h, YQ, leaves, vegetative-growth-stage, G.0, single
brra, PRJNA513391, SRR8414113, treated, cadmium-excess, 3, 50uM, 24h, TC, leaves, vegetative-growth-stage, G.0, single
brra, PRJNA513391, SRR8414116, treated, cadmium-excess, 1, 50uM, 48h, TC, leaves, vegetative-growth-stage, G.0, single
brra, PRJNA513391, SRR8414117, treated, cadmium-excess, 2, 50uM, 48h, TC, leaves, vegetative-growth-stage, G.0, single
brra, PRJNA513391, SRR8414120, control, cadmium-excess, 1, 0uM, 0h, YQ, leaves, vegetative-growth-stage, G.0, single
brra, PRJNA513391, SRR8414122, treated, cadmium-excess, 3, 50uM, 24h, YQ, leaves, vegetative-growth-stage, G.0, single
brra, PRJNA513391, SRR8414127, treated, cadmium-excess, 2, 50uM, 24h, YQ, leaves, vegetative-growth-stage, G.0, single
brra, PRJNA513391, SRR8414128, treated, cadmium-excess, 1, 50uM, 24h, YQ, leaves, vegetative-growth-stage, G.0, single
brra, PRJNA513391, SRR8414129, treated, cadmium-excess, 2, 50uM, 48h, YQ, leaves, vegetative-growth-stage, G.0, single
brra, PRJNA513391, SRR8414130, treated, cadmium-excess, 1, 50uM, 48h, YQ, leaves, vegetative-growth-stage, G.0, single
brra, PRJNA513391, SRR8414131, treated, cadmium-excess, 1, 50uM, 24h, TC, leaves, vegetative-growth-stage, G.0, single
brra, PRJNA513391, SRR8414132, treated, cadmium-excess, 2, 50uM, 24h, TC, leaves, vegetative-growth-stage, G.0, single
brra, PRJNA513391, SRR8414133, control, cadmium-excess, 2, 0uM, 0h, TC, leaves, vegetative-growth-stage, G.0, single
brra, PRJNA513391, SRR8414134, control, cadmium-excess, 3, 0uM, 0h, TC, leaves, vegetative-growth-stage, G.0, single
brra, PRJNA513391, SRR8414140, control, cadmium-excess, 1, 0uM, 0h, TC, leaves, vegetative-growth-stage, G.0, single
brra, PRJNA513391, SRR8414143, control, cadmium-excess, 2, 0uM, 0h, TC, root, vegetative-growth-stage, G.0, single
brra, PRJNA513391, SRR8414144, control, cadmium-excess, 3, 0uM, 0h, TC, root, vegetative-growth-stage, G.0, single
brra, PRJNA513391, SRR8414146, control, cadmium-excess, 1, 0uM, 0h, TC, root, vegetative-growth-stage, G.0, single
brra, PRJNA513391, SRR8414150, treated, cadmium-excess, 1, 50uM, 24h, TC, root, vegetative-growth-stage, G.0, single
brra, PRJNA513391, SRR8414154, treated, cadmium-excess, 2, 50uM, 24h, TC, root, vegetative-growth-stage, G.0, single
brra, PRJNA513391, SRR8414156, treated, cadmium-excess, 3, 50uM, 48h, TC, root, vegetative-growth-stage, G.0, single
brra, PRJNA513391, SRR8414157, treated, cadmium-excess, 2, 50uM, 48h, TC, root, vegetative-growth-stage, G.0, single
brra, PRJNA513391, SRR8414158, treated, cadmium-excess, 1, 50uM, 48h, TC, root, vegetative-growth-stage, G.0, single
brra, PRJNA513391, SRR8414164, treated, cadmium-excess, 1, 50uM, 24h, YQ, root, vegetative-growth-stage, G.0, single
brra, PRJNA513391, SRR8414165, treated, cadmium-excess, 3, 50uM, 24h, TC, root, vegetative-growth-stage, G.0, single
brra, PRJNA513391, SRR8414166, treated, cadmium-excess, 2, 50uM, 24h, YQ, root, vegetative-growth-stage, G.0, single
brra, PRJNA513391, SRR8414167, control, cadmium-excess, 1, 0uM, 0h, YQ, root, vegetative-growth-stage, G.0, single
brra, PRJNA513391, SRR8414168, control, cadmium-excess, 2, 0uM, 0h, YQ, root, vegetative-growth-stage, G.0, single
brra, PRJNA513391, SRR8414169, control, cadmium-excess, 3, 0uM, 0h, YQ, root, vegetative-growth-stage, G.0, single
brra, PRJNA513391, SRR8414173, treated, cadmium-excess, 2, 50uM, 48h, YQ, root, vegetative-growth-stage, G.0, single
brra, PRJNA513391, SRR8414174, treated, cadmium-excess, 1, 50uM, 48h, YQ, root, vegetative-growth-stage, G.0, single
brra, PRJNA513391, SRR8414176, treated, cadmium-excess, 3, 50uM, 48h, YQ, root, vegetative-growth-stage, G.0, single
