Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
casi, PRJNA611734, SRR11280540, control, colletotrichum-gloeosporioides, 1, L.0, 7d, Longjing43, leaves, 3y, G.S, single
casi, PRJNA611734, SRR11280541, control, colletotrichum-gloeosporioides, 2, L.0, 7d, Longjing43, leaves, 3y, G.S, single
casi, PRJNA611734, SRR11280542, control, colletotrichum-gloeosporioides, 3, L.0, 7d, Longjing43, leaves, 3y, G.S, single
casi, PRJNA611734, SRR11280543, treated, colletotrichum-gloeosporioides, 1, L.0, 7d, Longjing43, leaves, 3y, G.S, single
casi, PRJNA611734, SRR11280544, treated, colletotrichum-gloeosporioides, 2, L.0, 7d, Longjing43, leaves, 3y, G.S, single
casi, PRJNA611734, SRR11280545, treated, colletotrichum-gloeosporioides, 3, L.0, 7d, Longjing43, leaves, 3y, G.S, single
casi, PRJNA611734, SRR11280552, control, colletotrichum-gloeosporioides, 1, L.0, 7d, Zhongcha108, leaves, 3y, G.R, single
casi, PRJNA611734, SRR11280553, control, colletotrichum-gloeosporioides, 2, L.0, 7d, Zhongcha108, leaves, 3y, G.R, single
casi, PRJNA611734, SRR11280554, control, colletotrichum-gloeosporioides, 3, L.0, 7d, Zhongcha108, leaves, 3y, G.R, single
casi, PRJNA611734, SRR11280555, treated, colletotrichum-gloeosporioides, 1, L.0, 7d, Zhongcha108, leaves, 3y, G.R, single
casi, PRJNA611734, SRR11280556, treated, colletotrichum-gloeosporioides, 2, L.0, 7d, Zhongcha108, leaves, 3y, G.R, single
casi, PRJNA611734, SRR11280557, treated, colletotrichum-gloeosporioides, 3, L.0, 7d, Zhongcha108, leaves, 3y, G.R, single
