Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
chqu, PRJNA541982, SRR9040577, treated, cmv, 2, L.0, 4d, Redhead, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040578, control, cmv, 3, L.0, 4d, Redhead, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040579, control, cmv, 2, L.0, 4d, Jesse, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040580, control, cmv, 1, L.0, 4d, Jesse, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040581, control, cmv, 3, L.0, 1d, Jesse, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040582, control, cmv, 2, L.0, 1d, Jesse, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040583, control, cmv, 1, L.0, 1d, Jesse, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040584, control, cmv, 1, L.0, 4d, Redhead, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040585, control, cmv, 3, L.0, 1d, Redhead, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040586, control, cmv, 2, L.0, 1d, Redhead, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040587, control, cmv, 2, L.0, 4d, Redhead, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040588, treated, cmv, 1, L.0, 4d, Jesse, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040589, treated, cmv, 3, L.0, 1d, Jesse, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040590, treated, cmv, 2, L.0, 1d, Jesse, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040591, treated, cmv, 1, L.0, 1d, Jesse, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040592, control, cmv, 3, L.0, 4d, Jesse, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040593, control, cmv, 1, L.0, 4d, QQ74, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040594, control, cmv, 2, L.0, 4d, QQ74, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040595, control, cmv, 3, L.0, 4d, QQ74, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040596, treated, cmv, 1, L.0, 1d, QQ74, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040597, treated, cmv, 2, L.0, 1d, QQ74, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040598, treated, cmv, 3, L.0, 4d, Redhead, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040599, treated, cmv, 1, L.0, 4d, QQ74, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040600, treated, cmv, 3, L.0, 1d, QQ74, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040601, treated, cmv, 2, L.0, 4d, QQ74, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040602, treated, cmv, 3, L.0, 4d, QQ74, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040603, control, cmv, 1, L.0, 1d, Redhead, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040604, treated, cmv, 1, L.0, 1d, Redhead, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040605, treated, cmv, 1, L.0, 4d, Redhead, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040606, treated, cmv, 3, L.0, 1d, Redhead, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040607, control, cmv, 2, L.0, 1d, QQ74, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040608, control, cmv, 1, L.0, 1d, QQ74, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040609, treated, cmv, 3, L.0, 4d, Jesse, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040610, treated, cmv, 2, L.0, 4d, Jesse, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040611, treated, cmv, 2, L.0, 1d, Redhead, leaves, D.0, G.0, single
chqu, PRJNA541982, SRR9040612, control, cmv, 3, L.0, 1d, QQ74, leaves, D.0, G.0, single
