Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
cume, PRJNA551387, sample01, control, agrobacterium:cold:drought:hsvd:monosporascus:salt:short-day, 1, L.0, 2d, PielDeSapo, leaves, D.0, G.0, single
cume, PRJNA551387, sample02, control, agrobacterium:cold:drought:hsvd:monosporascus:salt:short-day, 2, L.0, 2d, PielDeSapo, leaves, D.0, G.0, single
cume, PRJNA551387, sample03, control, agrobacterium:cold:drought:hsvd:monosporascus:salt:short-day, 3, L.0, 2d, PielDeSapo, leaves, D.0, G.0, single
cume, PRJNA551387, sample04, treated, cold, 1, L.0, 2d, PielDeSapo, leaves, D.0, G.0, single
cume, PRJNA551387, sample05, treated, cold, 2, L.0, 2d, PielDeSapo, leaves, D.0, G.0, single
cume, PRJNA551387, sample06, treated, cold, 3, L.0, 2d, PielDeSapo, leaves, D.0, G.0, single
cume, PRJNA551387, sample07, treated, drought, 1, L.0, 2d, PielDeSapo, leaves, D.0, G.0, single
cume, PRJNA551387, sample08, treated, drought, 2, L.0, 2d, PielDeSapo, leaves, D.0, G.0, single
cume, PRJNA551387, sample09, treated, drought, 3, L.0, 2d, PielDeSapo, leaves, D.0, G.0, single
cume, PRJNA551387, sample10, treated, salt, 1, L.0, 2d, PielDeSapo, leaves, D.0, G.0, single
cume, PRJNA551387, sample11, treated, salt, 2, L.0, 2d, PielDeSapo, leaves, D.0, G.0, single
cume, PRJNA551387, sample12, treated, salt, 3, L.0, 2d, PielDeSapo, leaves, D.0, G.0, single
cume, PRJNA551387, sample13, treated, short-day, 1, L.0, 2d, PielDeSapo, leaves, D.0, G.0, single
cume, PRJNA551387, sample14, treated, short-day, 2, L.0, 2d, PielDeSapo, leaves, D.0, G.0, single
cume, PRJNA551387, sample15, treated, short-day, 3, L.0, 2d, PielDeSapo, leaves, D.0, G.0, single
cume, PRJNA551387, sample16, treated, hsvd, 1, L.0, 2d, PielDeSapo, leaves, D.0, G.0, single
cume, PRJNA551387, sample17, treated, hsvd, 2, L.0, 2d, PielDeSapo, leaves, D.0, G.0, single
cume, PRJNA551387, sample18, treated, hsvd, 3, L.0, 2d, PielDeSapo, leaves, D.0, G.0, single
cume, PRJNA551387, sample19, treated, monosporascus, 1, L.0, 2d, PielDeSapo, leaves, D.0, G.0, single
cume, PRJNA551387, sample20, treated, monosporascus, 2, L.0, 2d, PielDeSapo, leaves, D.0, G.0, single
cume, PRJNA551387, sample21, treated, monosporascus, 3, L.0, 2d, PielDeSapo, leaves, D.0, G.0, single
cume, PRJNA551387, sample22, treated, agrobacterium, 1, L.0, 2d, PielDeSapo, leaves, D.0, G.0, single
cume, PRJNA551387, sample23, treated, agrobacterium, 2, L.0, 2d, PielDeSapo, leaves, D.0, G.0, single
cume, PRJNA551387, sample24, treated, agrobacterium, 3, L.0, 2d, PielDeSapo, leaves, D.0, G.0, single
cume, PRJNA551387, sample25, control, agrobacterium:cold:drought:hsvd:monosporascus:salt:short-day, 1, L.0, 4d, PielDeSapo, leaves, D.0, G.0, single
