Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
cusa, PRJNA307279, SRR3156435, treated, pi-deficiency, 1, L.0, 12h, Chinese-long, internode-vascular-tissue, 26d, G.0, single
cusa, PRJNA307279, SRR3156436, treated, pi-deficiency, 2, L.0, 12h, Chinese-long, internode-vascular-tissue, 26d, G.0, single
cusa, PRJNA307279, SRR3156437, treated, pi-deficiency, 3, L.0, 12h, Chinese-long, internode-vascular-tissue, 26d, G.0, single
cusa, PRJNA307279, SRR3156438, control, pi-deficiency, 1, L.0, 12h, Chinese-long, internode-vascular-tissue, 26d, G.0, single
cusa, PRJNA307279, SRR3156439, control, pi-deficiency, 2, L.0, 12h, Chinese-long, internode-vascular-tissue, 26d, G.0, single
cusa, PRJNA307279, SRR3156440, control, pi-deficiency, 3, L.0, 12h, Chinese-long, internode-vascular-tissue, 26d, G.0, single
cusa, PRJNA307279, SRR3156441, treated, pi-deficiency, 1, L.0, 12h, Chinese-long, lamina, 26d, G.0, single
cusa, PRJNA307279, SRR3156442, treated, pi-deficiency, 2, L.0, 12h, Chinese-long, lamina, 26d, G.0, single
cusa, PRJNA307279, SRR3156443, treated, pi-deficiency, 3, L.0, 12h, Chinese-long, lamina, 26d, G.0, single
cusa, PRJNA307279, SRR3156444, control, pi-deficiency, 1, L.0, 12h, Chinese-long, lamina, 26d, G.0, single
cusa, PRJNA307279, SRR3156445, control, pi-deficiency, 2, L.0, 12h, Chinese-long, lamina, 26d, G.0, single
cusa, PRJNA307279, SRR3156446, control, pi-deficiency, 3, L.0, 12h, Chinese-long, lamina, 26d, G.0, single
cusa, PRJNA307279, SRR3156447, treated, pi-deficiency, 1, L.0, 12h, Chinese-long, major-vein, 26d, G.0, single
cusa, PRJNA307279, SRR3156448, treated, pi-deficiency, 2, L.0, 12h, Chinese-long, major-vein, 26d, G.0, single
cusa, PRJNA307279, SRR3156449, treated, pi-deficiency, 3, L.0, 12h, Chinese-long, major-vein, 26d, G.0, single
cusa, PRJNA307279, SRR3156450, control, pi-deficiency, 1, L.0, 12h, Chinese-long, major-vein, 26d, G.0, single
cusa, PRJNA307279, SRR3156451, control, pi-deficiency, 2, L.0, 12h, Chinese-long, major-vein, 26d, G.0, single
cusa, PRJNA307279, SRR3156452, control, pi-deficiency, 3, L.0, 12h, Chinese-long, major-vein, 26d, G.0, single
cusa, PRJNA307279, SRR3156453, treated, pi-deficiency, 1, L.0, 12h, Chinese-long, pholem-sap, 26d, G.0, single
cusa, PRJNA307279, SRR3156454, treated, pi-deficiency, 2, L.0, 12h, Chinese-long, pholem-sap, 26d, G.0, single
cusa, PRJNA307279, SRR3156455, treated, pi-deficiency, 3, L.0, 12h, Chinese-long, pholem-sap, 26d, G.0, single
cusa, PRJNA307279, SRR3156456, control, pi-deficiency, 1, L.0, 12h, Chinese-long, pholem-sap, 26d, G.0, single
cusa, PRJNA307279, SRR3156457, control, pi-deficiency, 2, L.0, 12h, Chinese-long, pholem-sap, 26d, G.0, single
cusa, PRJNA307279, SRR3156458, control, pi-deficiency, 3, L.0, 12h, Chinese-long, pholem-sap, 26d, G.0, single
cusa, PRJNA307279, SRR3156459, treated, pi-deficiency, 1, L.0, 12h, Chinese-long, petiole-vascular-tissue, 26d, G.0, single
cusa, PRJNA307279, SRR3156460, treated, pi-deficiency, 2, L.0, 12h, Chinese-long, petiole-vascular-tissue, 26d, G.0, single
cusa, PRJNA307279, SRR3156461, treated, pi-deficiency, 3, L.0, 12h, Chinese-long, petiole-vascular-tissue, 26d, G.0, single
cusa, PRJNA307279, SRR3156462, control, pi-deficiency, 1, L.0, 12h, Chinese-long, petiole-vascular-tissue, 26d, G.0, single
cusa, PRJNA307279, SRR3156463, control, pi-deficiency, 2, L.0, 12h, Chinese-long, petiole-vascular-tissue, 26d, G.0, single
cusa, PRJNA307279, SRR3156464, control, pi-deficiency, 3, L.0, 12h, Chinese-long, petiole-vascular-tissue, 26d, G.0, single
cusa, PRJNA307279, SRR3156465, treated, pi-deficiency, 1, L.0, 12h, Chinese-long, root, 26d, G.0, single
cusa, PRJNA307279, SRR3156466, treated, pi-deficiency, 2, L.0, 12h, Chinese-long, root, 26d, G.0, single
cusa, PRJNA307279, SRR3156467, treated, pi-deficiency, 3, L.0, 12h, Chinese-long, root, 26d, G.0, single
cusa, PRJNA307279, SRR3156468, control, pi-deficiency, 1, L.0, 12h, Chinese-long, root, 26d, G.0, single
cusa, PRJNA307279, SRR3156469, control, pi-deficiency, 2, L.0, 12h, Chinese-long, root, 26d, G.0, single
cusa, PRJNA307279, SRR3156470, control, pi-deficiency, 3, L.0, 12h, Chinese-long, root, 26d, G.0, single
cusa, PRJNA307279, SRR3156471, treated, pi-deficiency, 1, L.0, 12h, Chinese-long, shoot-apex, 26d, G.0, single
cusa, PRJNA307279, SRR3156472, treated, pi-deficiency, 2, L.0, 12h, Chinese-long, shoot-apex, 26d, G.0, single
cusa, PRJNA307279, SRR3156473, treated, pi-deficiency, 3, L.0, 12h, Chinese-long, shoot-apex, 26d, G.0, single
cusa, PRJNA307279, SRR3156474, control, pi-deficiency, 1, L.0, 12h, Chinese-long, shoot-apex, 26d, G.0, single
cusa, PRJNA307279, SRR3156475, control, pi-deficiency, 2, L.0, 12h, Chinese-long, shoot-apex, 26d, G.0, single
cusa, PRJNA307279, SRR3156476, control, pi-deficiency, 3, L.0, 12h, Chinese-long, shoot-apex, 26d, G.0, single
