Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
daca, PRJNA883012, SRR21669739, control, salt, 3, L.0, T.0, DLBA, root, mature-plant, G.T, single
daca, PRJNA883012, SRR21669740, control, salt, 2, L.0, T.0, DLBA, root, mature-plant, G.T, single
daca, PRJNA883012, SRR21669741, control, salt, 1, L.0, T.0, DLBA, root, mature-plant, G.T, single
daca, PRJNA883012, SRR21669742, treated, salt, 3, L.0, T.0, DLBA, root, mature-plant, G.T, single
daca, PRJNA883012, SRR21669743, treated, salt, 2, L.0, T.0, DLBA, root, mature-plant, G.T, single
daca, PRJNA883012, SRR21669744, treated, salt, 1, L.0, T.0, DLBA, root, mature-plant, G.T, single
daca, PRJNA883012, SRR21669745, control, salt, 3, L.0, T.0, DLBA, leaves, mature-plant, G.T, single
daca, PRJNA883012, SRR21669746, control, salt, 2, L.0, T.0, DLBA, leaves, mature-plant, G.T, single
daca, PRJNA883012, SRR21669748, control, salt, 1, L.0, T.0, DLBA, leaves, mature-plant, G.T, single
daca, PRJNA883012, SRR21669749, treated, salt, 3, L.0, T.0, DLBA, leaves, mature-plant, G.T, single
daca, PRJNA883012, SRR21669750, treated, salt, 2, L.0, T.0, DLBA, leaves, mature-plant, G.T, single
daca, PRJNA883012, SRR21669751, treated, salt, 1, L.0, T.0, DLBA, leaves, mature-plant, G.T, single
daca, PRJNA883012, SRR21669752, control, salt, 3, L.0, T.0, DH1, root, mature-plant, G.S, single
daca, PRJNA883012, SRR21669753, control, salt, 2, L.0, T.0, DH1, root, mature-plant, G.S, single
daca, PRJNA883012, SRR21669754, control, salt, 1, L.0, T.0, DH1, root, mature-plant, G.S, single
daca, PRJNA883012, SRR21669755, treated, salt, 3, L.0, T.0, DH1, root, mature-plant, G.S, single
daca, PRJNA883012, SRR21669756, treated, salt, 2, L.0, T.0, DH1, root, mature-plant, G.S, single
daca, PRJNA883012, SRR21669757, treated, salt, 1, L.0, T.0, DH1, root, mature-plant, G.S, single
daca, PRJNA883012, SRR21669759, treated, salt, 3, L.0, T.0, DH1, leaves, mature-plant, G.S, single
daca, PRJNA883012, SRR21669760, treated, salt, 2, L.0, T.0, DH1, leaves, mature-plant, G.S, single
daca, PRJNA883012, SRR21669761, treated, salt, 1, L.0, T.0, DH1, leaves, mature-plant, G.S, single
daca, PRJNA883012, SRR21669762, control, salt, 3, L.0, T.0, DH1, leaves, mature-plant, G.S, single
daca, PRJNA883012, SRR21669763, control, salt, 2, L.0, T.0, DH1, leaves, mature-plant, G.S, single
daca, PRJNA883012, SRR21669764, control, salt, 1, L.0, T.0, DH1, leaves, mature-plant, G.S, single
