Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
erte, PRJNA338602, SRR4034963, control, drought, 1, L.0, T.0, Alba, shoot, 28d, G.0, single
erte, PRJNA338602, SRR4034964, control, drought, 2, L.0, T.0, Alba, shoot, 28d, G.0, single
erte, PRJNA338602, SRR4034965, treated, drought, 2, L.0, T.0, Tsedey, shoot, 28d, G.0, single
erte, PRJNA338602, SRR4034966, treated, drought, 3, L.0, T.0, Tsedey, shoot, 28d, G.0, single
erte, PRJNA338602, SRR4034967, control, drought, 1, L.0, T.0, Alba, root, 28d, G.0, single
erte, PRJNA338602, SRR4034968, control, drought, 2, L.0, T.0, Alba, root, 28d, G.0, single
erte, PRJNA338602, SRR4034969, control, drought, 3, L.0, T.0, Alba, root, 28d, G.0, single
erte, PRJNA338602, SRR4034970, treated, drought, 1, L.0, T.0, Alba, root, 28d, G.0, single
erte, PRJNA338602, SRR4034971, treated, drought, 2, L.0, T.0, Alba, root, 28d, G.0, single
erte, PRJNA338602, SRR4034972, treated, drought, 3, L.0, T.0, Alba, root, 28d, G.0, single
erte, PRJNA338602, SRR4034973, control, drought, 1, L.0, T.0, Tsedey, root, 28d, G.0, single
erte, PRJNA338602, SRR4034974, control, drought, 2, L.0, T.0, Tsedey, root, 28d, G.0, single
erte, PRJNA338602, SRR4034975, control, drought, 3, L.0, T.0, Alba, shoot, 28d, G.0, single
erte, PRJNA338602, SRR4034976, control, drought, 3, L.0, T.0, Tsedey, root, 28d, G.0, single
erte, PRJNA338602, SRR4034977, treated, drought, 1, L.0, T.0, Tsedey, root, 28d, G.0, single
erte, PRJNA338602, SRR4034978, treated, drought, 2, L.0, T.0, Tsedey, root, 28d, G.0, single
erte, PRJNA338602, SRR4034979, treated, drought, 3, L.0, T.0, Tsedey, root, 28d, G.0, single
erte, PRJNA338602, SRR4034980, treated, drought, 1, L.0, T.0, Alba, shoot, 28d, G.0, single
erte, PRJNA338602, SRR4034981, treated, drought, 2, L.0, T.0, Alba, shoot, 28d, G.0, single
erte, PRJNA338602, SRR4034982, treated, drought, 3, L.0, T.0, Alba, shoot, 28d, G.0, single
erte, PRJNA338602, SRR4034983, control, drought, 1, L.0, T.0, Tsedey, shoot, 28d, G.0, single
erte, PRJNA338602, SRR4034984, control, drought, 2, L.0, T.0, Tsedey, shoot, 28d, G.0, single
erte, PRJNA338602, SRR4034985, control, drought, 3, L.0, T.0, Tsedey, shoot, 28d, G.0, single
erte, PRJNA338602, SRR4034986, treated, drought, 1, L.0, T.0, Tsedey, shoot, 28d, G.0, single
