Group	Species	Project	Run	Treatment	Replicate	Level	Time	Cultivar	Tissue	Stage	Genotype	Batch	Test	Design	DesignRef	DesignRed	Contrast
1	Glycine max	PRJNA720229	SRR14182708	None	3	L.0	0h	glycine-soja-W05	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
1	Glycine max	PRJNA720229	SRR14182709	None	2	L.0	0h	glycine-soja-W05	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
1	Glycine max	PRJNA720229	SRR14182710	None	1	L.0	0h	glycine-soja-W05	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
1	Glycine max	PRJNA720229	SRR14182705	salt	3	0.9%	1h	glycine-soja-W05	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
1	Glycine max	PRJNA720229	SRR14182706	salt	2	0.9%	1h	glycine-soja-W05	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
1	Glycine max	PRJNA720229	SRR14182707	salt	1	0.9%	1h	glycine-soja-W05	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
1	Glycine max	PRJNA720229	SRR14182698	salt	3	0.9%	2h	glycine-soja-W05	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
1	Glycine max	PRJNA720229	SRR14182699	salt	2	0.9%	2h	glycine-soja-W05	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
1	Glycine max	PRJNA720229	SRR14182700	salt	1	0.9%	2h	glycine-soja-W05	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
1	Glycine max	PRJNA720229	SRR14182691	salt	3	0.9%	4h	glycine-soja-W05	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
1	Glycine max	PRJNA720229	SRR14182692	salt	2	0.9%	4h	glycine-soja-W05	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
1	Glycine max	PRJNA720229	SRR14182694	salt	1	0.9%	4h	glycine-soja-W05	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
1	Glycine max	PRJNA720229	SRR14182701	salt	3	0.9%	24h	glycine-soja-W05	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
1	Glycine max	PRJNA720229	SRR14182702	salt	2	0.9%	24h	glycine-soja-W05	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
1	Glycine max	PRJNA720229	SRR14182703	salt	1	0.9%	24h	glycine-soja-W05	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
1	Glycine max	PRJNA720229	SRR14182695	salt	3	0.9%	48h	glycine-soja-W05	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
1	Glycine max	PRJNA720229	SRR14182696	salt	2	0.9%	48h	glycine-soja-W05	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
