Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
hefu, PRJNA951081, SRR24037990, treated, salt, 1, 200mM, T.0, CV.0, root, D.0, G.0, single
hefu, PRJNA951081, SRR24037991, control, salt, 3, 0mM, T.0, CV.0, root, D.0, G.0, single
hefu, PRJNA951081, SRR24037992, control, salt, 2, 0mM, T.0, CV.0, root, D.0, G.0, single
hefu, PRJNA951081, SRR24037993, control, salt, 1, 0mM, T.0, CV.0, root, D.0, G.0, single
hefu, PRJNA951081, SRR24037994, treated, salt, 3, 200mM, T.0, CV.0, leaves, D.0, G.0, single
hefu, PRJNA951081, SRR24037995, treated, salt, 2, 200mM, T.0, CV.0, leaves, D.0, G.0, single
hefu, PRJNA951081, SRR24037996, treated, salt, 1, 200mM, T.0, CV.0, leaves, D.0, G.0, single
hefu, PRJNA951081, SRR24037997, control, salt, 3, 0mM, T.0, CV.0, leaves, D.0, G.0, single
hefu, PRJNA951081, SRR24037998, treated, salt, 3, 200mM, T.0, CV.0, root, D.0, G.0, single
hefu, PRJNA951081, SRR24037999, treated, salt, 2, 200mM, T.0, CV.0, root, D.0, G.0, single
hefu, PRJNA951081, SRR24038000, control, salt, 2, 0mM, T.0, CV.0, leaves, D.0, G.0, single
hefu, PRJNA951081, SRR24038001, control, salt, 1, 0mM, T.0, CV.0, leaves, D.0, G.0, single
