Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
acch, PRJNA645761, SRR12206546, treated, botrytis-cinerea, 1, L.0, 3d, Li, fruit, D.0, G.0, single
acch, PRJNA645761, SRR12206547, treated, botrytis-cinerea, 3, L.0, 2d, Li, fruit, D.0, G.0, single
acch, PRJNA645761, SRR12206548, treated, botrytis-cinerea, 2, L.0, 2d, Li, fruit, D.0, G.0, single
acch, PRJNA645761, SRR12206549, treated, botrytis-cinerea, 1, L.0, 2d, Li, fruit, D.0, G.0, single
acch, PRJNA645761, SRR12206550, treated, botrytis-cinerea, 3, L.0, 1d, Li, fruit, D.0, G.0, single
acch, PRJNA645761, SRR12206551, treated, botrytis-cinerea, 2, L.0, 1d, Li, fruit, D.0, G.0, single
acch, PRJNA645761, SRR12206552, treated, botrytis-cinerea, 1, L.0, 1d, Li, fruit, D.0, G.0, single
acch, PRJNA645761, SRR12206553, control, botrytis-cinerea, 3, L.0, 0d, Li, fruit, D.0, G.0, single
acch, PRJNA645761, SRR12206554, treated, botrytis-cinerea, 3, L.0, 5d, Li, fruit, D.0, G.0, single
acch, PRJNA645761, SRR12206555, treated, botrytis-cinerea, 2, L.0, 5d, Li, fruit, D.0, G.0, single
acch, PRJNA645761, SRR12206556, treated, botrytis-cinerea, 1, L.0, 5d, Li, fruit, D.0, G.0, single
acch, PRJNA645761, SRR12206557, treated, botrytis-cinerea, 3, L.0, 4d, Li, fruit, D.0, G.0, single
acch, PRJNA645761, SRR12206558, treated, botrytis-cinerea, 2, L.0, 4d, Li, fruit, D.0, G.0, single
acch, PRJNA645761, SRR12206559, treated, botrytis-cinerea, 1, L.0, 4d, Li, fruit, D.0, G.0, single
acch, PRJNA645761, SRR12206560, treated, botrytis-cinerea, 3, L.0, 3d, Li, fruit, D.0, G.0, single
acch, PRJNA645761, SRR12206561, treated, botrytis-cinerea, 2, L.0, 3d, Li, fruit, D.0, G.0, single
acch, PRJNA645761, SRR12206562, control, botrytis-cinerea, 2, L.0, 0d, Li, fruit, D.0, G.0, single
acch, PRJNA645761, SRR12206563, control, botrytis-cinerea, 1, L.0, 0d, Li, fruit, D.0, G.0, single
