Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
ipba, PRJNA649319, SRR12341641, treated, spcsv, 2, L.0, 6w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341643, treated, spcsv, 1, L.0, 6w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341644, treated, spcsv, 3, L.0, 3w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341645, treated, spcsv, 2, L.0, 3w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341646, treated, spcsv, 1, L.0, 3w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341675, control, spcsv:spfmv:spcsv&spfmv, 3, L.0, 12w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341676, control, spcsv:spfmv:spcsv&spfmv, 2, L.0, 12w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341678, control, spcsv:spfmv:spcsv&spfmv, 1, L.0, 12w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341679, control, spcsv:spfmv:spcsv&spfmv, 3, L.0, 6w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341680, control, spcsv:spfmv:spcsv&spfmv, 2, L.0, 6w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341681, control, spcsv:spfmv:spcsv&spfmv, 1, L.0, 6w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341682, control, spcsv:spfmv:spcsv&spfmv, 3, L.0, 3w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341683, control, spcsv:spfmv:spcsv&spfmv, 2, L.0, 3w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341684, control, spcsv:spfmv:spcsv&spfmv, 1, L.0, 3w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341685, treated, spfmv, 3, L.0, 12w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341686, treated, spfmv, 2, L.0, 12w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341687, treated, spfmv, 1, L.0, 12w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341689, treated, spfmv, 3, L.0, 6w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341690, treated, spfmv, 2, L.0, 6w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341691, treated, spfmv, 1, L.0, 6w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341692, treated, spfmv, 3, L.0, 3w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341693, treated, spfmv, 2, L.0, 3w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341694, treated, spfmv, 1, L.0, 3w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341695, treated, spcsv&spfmv, 3, L.0, 12w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341696, treated, spcsv&spfmv, 2, L.0, 12w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341697, treated, spcsv&spfmv, 1, L.0, 12w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341698, treated, spcsv&spfmv, 3, L.0, 6w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341700, treated, spcsv&spfmv, 2, L.0, 6w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341701, treated, spcsv&spfmv, 1, L.0, 6w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341702, treated, spcsv&spfmv, 3, L.0, 3w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341703, treated, spcsv&spfmv, 2, L.0, 3w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341704, treated, spcsv&spfmv, 1, L.0, 3w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341705, treated, spcsv, 3, L.0, 12w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341706, treated, spcsv, 2, L.0, 12w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341707, treated, spcsv, 1, L.0, 12w, Beauregard, leaves, D.0, G.0, single
ipba, PRJNA649319, SRR12341708, treated, spcsv, 3, L.0, 6w, Beauregard, leaves, D.0, G.0, single
