Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
Kama, PRJNA684436, SRR13275777, control, drought, 2, L.0, 0d, Baijizhiwu, epidermal-peel, vegetative, G.0, single
Kama, PRJNA684436, SRR13275778, treated, drought, 2, L.0, 10d, Baijizhiwu, Mesophyll, vegetative, G.0, single
Kama, PRJNA684436, SRR13275779, treated, drought, 3, L.0, 10d, Baijizhiwu, Mesophyll, vegetative, G.0, single
Kama, PRJNA684436, SRR13275780, treated, drought, 1, L.0, 25d, Baijizhiwu, epidermal-peel, vegetative, G.0, single
Kama, PRJNA684436, SRR13275781, treated, drought, 2, L.0, 25d, Baijizhiwu, epidermal-peel, vegetative, G.0, single
Kama, PRJNA684436, SRR13275782, treated, drought, 3, L.0, 25d, Baijizhiwu, epidermal-peel, vegetative, G.0, single
Kama, PRJNA684436, SRR13275783, treated, drought, 1, L.0, 25d, Baijizhiwu, Mesophyll, vegetative, G.0, single
Kama, PRJNA684436, SRR13275784, treated, drought, 2, L.0, 25d, Baijizhiwu, Mesophyll, vegetative, G.0, single
Kama, PRJNA684436, SRR13275785, treated, drought, 3, L.0, 25d, Baijizhiwu, Mesophyll, vegetative, G.0, single
Kama, PRJNA684436, SRR13275788, control, drought, 3, L.0, 0d, Baijizhiwu, epidermal-peel, vegetative, G.0, single
Kama, PRJNA684436, SRR13275789, control, drought, 1, L.0, 0d, Baijizhiwu, Mesophyll, vegetative, G.0, single
Kama, PRJNA684436, SRR13275790, control, drought, 2, L.0, 0d, Baijizhiwu, Mesophyll, vegetative, G.0, single
Kama, PRJNA684436, SRR13275791, control, drought, 3, L.0, 0d, Baijizhiwu, Mesophyll, vegetative, G.0, single
Kama, PRJNA684436, SRR13275792, treated, drought, 1, L.0, 10d, Baijizhiwu, epidermal-peel, vegetative, G.0, single
Kama, PRJNA684436, SRR13275793, treated, drought, 1, L.0, 10d, Baijizhiwu, Mesophyll, vegetative, G.0, single
Kama, PRJNA684436, SRR13275794, treated, drought, 3, L.0, 10d, Baijizhiwu, epidermal-peel, vegetative, G.0, single
Kama, PRJNA684436, SRR13275795, treated, drought, 2, L.0, 10d, Baijizhiwu, epidermal-peel, vegetative, G.0, single
Kama, PRJNA684436, SRR13275796, control, drought, 1, L.0, 0d, Baijizhiwu, epidermal-peel, vegetative, G.0, single
