Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
mado, PRJEB50607, ERR8314373, treated, arwv-1, 1, L.0, T.0, Lord-Lambourne, stem, D.0, G.0, single
mado, PRJEB50607, ERR8314374, treated, arwv-1, 2, L.0, T.0, Lord-Lambourne, stem, D.0, G.0, single
mado, PRJEB50607, ERR8314375, treated, arwv-1, 3, L.0, T.0, Lord-Lambourne, stem, D.0, G.0, single
mado, PRJEB50607, ERR8314376, treated, arwv-1, 4, L.0, T.0, Lord-Lambourne, stem, D.0, G.0, single
mado, PRJEB50607, ERR8314377, control, arwv-1, 1, L.0, T.0, Lord-Lambourne, stem, D.0, G.0, single
mado, PRJEB50607, ERR8314378, control, arwv-1, 2, L.0, T.0, Lord-Lambourne, stem, D.0, G.0, single
mado, PRJEB50607, ERR8314379, control, arwv-1, 3, L.0, T.0, Lord-Lambourne, stem, D.0, G.0, single
mado, PRJEB50607, ERR8314380, control, arwv-1, 4, L.0, T.0, Lord-Lambourne, stem, D.0, G.0, single
mado, PRJEB50607, ERR8314381, control, arwv-1, 5, L.0, T.0, Lord-Lambourne, stem, D.0, G.0, single
mado, PRJEB50607, ERR8314382, control, arwv-1, 6, L.0, T.0, Lord-Lambourne, stem, D.0, G.0, single
