Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
mesa, PRJNA960888, SRR24282125, treated, alkali, 1, 50mmol/L, 12h, Zhongmu-No.1, root, 14d, G.0, single
mesa, PRJNA960888, SRR24282126, treated, alkali, 3, 50mmol/L, 8h, Zhongmu-No.1, root, 14d, G.0, single
mesa, PRJNA960888, SRR24282127, treated, alkali, 2, 50mmol/L, 8h, Zhongmu-No.1, root, 14d, G.0, single
mesa, PRJNA960888, SRR24282128, treated, alkali, 1, 50mmol/L, 8h, Zhongmu-No.1, root, 14d, G.0, single
mesa, PRJNA960888, SRR24282129, treated, alkali, 3, 50mmol/L, 4h, Zhongmu-No.1, root, 14d, G.0, single
mesa, PRJNA960888, SRR24282130, treated, alkali, 2, 50mmol/L, 4h, Zhongmu-No.1, root, 14d, G.0, single
mesa, PRJNA960888, SRR24282131, treated, alkali, 1, 50mmol/L, 4h, Zhongmu-No.1, root, 14d, G.0, single
mesa, PRJNA960888, SRR24282132, control, alkali, 3, 50mmol/L, 0h, Zhongmu-No.1, root, 14d, G.0, single
mesa, PRJNA960888, SRR24282133, treated, alkali, 3, 50mmol/L, 24h, Zhongmu-No.1, root, 14d, G.0, single
mesa, PRJNA960888, SRR24282134, treated, alkali, 2, 50mmol/L, 24h, Zhongmu-No.1, root, 14d, G.0, single
mesa, PRJNA960888, SRR24282135, treated, alkali, 1, 50mmol/L, 24h, Zhongmu-No.1, root, 14d, G.0, single
mesa, PRJNA960888, SRR24282136, treated, alkali, 3, 50mmol/L, 12h, Zhongmu-No.1, root, 14d, G.0, single
mesa, PRJNA960888, SRR24282137, treated, alkali, 2, 50mmol/L, 12h, Zhongmu-No.1, root, 14d, G.0, single
mesa, PRJNA960888, SRR24282138, control, alkali, 2, 50mmol/L, 0h, Zhongmu-No.1, root, 14d, G.0, single
mesa, PRJNA960888, SRR24282139, control, alkali, 1, 50mmol/L, 0h, Zhongmu-No.1, root, 14d, G.0, single
