Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
nibe, PRJNA945175, SRR23874809, control, hrcv:tswv:tswv&hrcv, 2, L.0, 14d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874810, treated, hrcv, 1, L.0, 1d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874811, treated, tswv, 3, L.0, 14d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874812, treated, tswv, 2, L.0, 14d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874813, treated, tswv, 1, L.0, 14d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874814, treated, tswv, 3, L.0, 7d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874815, treated, tswv, 2, L.0, 7d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874816, control, hrcv:tswv:tswv&hrcv, 3, L.0, 14d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874817, control, hrcv:tswv:tswv&hrcv, 1, L.0, 14d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874818, control, hrcv:tswv:tswv&hrcv, 3, L.0, 7d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874819, control, hrcv:tswv:tswv&hrcv, 2, L.0, 7d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874820, treated, hrcv, 1, L.0, 7d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874821, treated, hrcv, 2, L.0, 7d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874822, treated, hrcv, 3, L.0, 7d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874823, treated, hrcv, 1, L.0, 14d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874824, treated, hrcv, 2, L.0, 14d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874825, treated, hrcv, 3, L.0, 14d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874826, treated, tswv&hrcv, 1, L.0, 1d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874827, treated, tswv&hrcv, 2, L.0, 1d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874828, treated, tswv, 3, L.0, 1d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874829, treated, tswv&hrcv, 3, L.0, 1d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874830, treated, tswv&hrcv, 1, L.0, 7d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874831, treated, tswv&hrcv, 2, L.0, 7d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874832, treated, tswv&hrcv, 3, L.0, 7d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874833, treated, tswv&hrcv, 1, L.0, 14d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874834, treated, tswv&hrcv, 2, L.0, 14d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874835, treated, tswv&hrcv, 3, L.0, 14d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874836, control, hrcv:tswv:tswv&hrcv, 1, L.0, 1d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874837, control, hrcv:tswv:tswv&hrcv, 2, L.0, 1d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874838, control, hrcv:tswv:tswv&hrcv, 3, L.0, 1d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874839, treated, tswv, 1, L.0, 7d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874840, control, hrcv:tswv:tswv&hrcv, 1, L.0, 7d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874841, treated, tswv, 1, L.0, 1d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874842, treated, tswv, 2, L.0, 1d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874843, treated, hrcv, 2, L.0, 1d, CV.0, leaves, 3mo, G.0, single
nibe, PRJNA945175, SRR23874844, treated, hrcv, 3, L.0, 1d, CV.0, leaves, 3mo, G.0, single
