Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
pavi, PRJNA670233, SRR12851470, treated, drought, 3, L.0, 6d, Alamos-8X, leaves, D.0, G.0, single
pavi, PRJNA670233, SRR12851471, treated, drought, 2, L.0, 6d, Alamos-8X, leaves, D.0, G.0, single
pavi, PRJNA670233, SRR12851472, treated, drought, 1, L.0, 6d, Alamos-8X, leaves, D.0, G.0, single
pavi, PRJNA670233, SRR12851473, treated, drought, 3, L.0, 3d, Alamos-8X, leaves, D.0, G.0, single
pavi, PRJNA670233, SRR12851474, treated, drought, 2, L.0, 3d, Alamos-8X, leaves, D.0, G.0, single
pavi, PRJNA670233, SRR12851475, treated, drought, 1, L.0, 3d, Alamos-8X, leaves, D.0, G.0, single
pavi, PRJNA670233, SRR12851476, treated, drought, 3, L.0, 6d, Alamos-4X, leaves, D.0, G.0, single
pavi, PRJNA670233, SRR12851478, treated, drought, 2, L.0, 6d, Alamos-4X, leaves, D.0, G.0, single
pavi, PRJNA670233, SRR12851479, treated, drought, 1, L.0, 6d, Alamos-4X, leaves, D.0, G.0, single
pavi, PRJNA670233, SRR12851480, treated, drought, 3, L.0, 3d, Alamos-4X, leaves, D.0, G.0, single
pavi, PRJNA670233, SRR12851481, treated, drought, 2, L.0, 3d, Alamos-4X, leaves, D.0, G.0, single
pavi, PRJNA670233, SRR12851482, treated, drought, 1, L.0, 3d, Alamos-4X, leaves, D.0, G.0, single
pavi, PRJNA670233, SRR12851483, control, drought, 3, L.0, 0d, Alamos-8X, leaves, D.0, G.0, single
pavi, PRJNA670233, SRR12851484, control, drought, 2, L.0, 0d, Alamos-8X, leaves, D.0, G.0, single
pavi, PRJNA670233, SRR12851485, control, drought, 1, L.0, 0d, Alamos-8X, leaves, D.0, G.0, single
pavi, PRJNA670233, SRR12851486, control, drought, 3, L.0, 0d, Alamos-4X, leaves, D.0, G.0, single
pavi, PRJNA670233, SRR12851487, control, drought, 2, L.0, 0d, Alamos-4X, leaves, D.0, G.0, single
pavi, PRJNA670233, SRR12851489, control, drought, 1, L.0, 0d, Alamos-4X, leaves, D.0, G.0, single
