Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
phau, PRJNA885524, SRR21762525, treated, drought, 1, L.0, 6d, CV.0, leaves, 3y, G.0, single
phau, PRJNA885524, SRR21762526, treated, drought, 3, L.0, 4d, CV.0, leaves, 3y, G.0, single
phau, PRJNA885524, SRR21762527, treated, drought, 2, L.0, 4d, CV.0, leaves, 3y, G.0, single
phau, PRJNA885524, SRR21762528, treated, drought, 1, L.0, 4d, CV.0, leaves, 3y, G.0, single
phau, PRJNA885524, SRR21762529, treated, drought, 3, L.0, 2d, CV.0, leaves, 3y, G.0, single
phau, PRJNA885524, SRR21762530, treated, drought, 2, L.0, 2d, CV.0, leaves, 3y, G.0, single
phau, PRJNA885524, SRR21762531, treated, drought, 1, L.0, 2d, CV.0, leaves, 3y, G.0, single
phau, PRJNA885524, SRR21762532, control, drought, 3, L.0, 0d, CV.0, leaves, 3y, G.0, single
phau, PRJNA885524, SRR21762533, treated, drought, 3, L.0, 6d, CV.0, leaves, 3y, G.0, single
phau, PRJNA885524, SRR21762534, treated, drought, 2, L.0, 6d, CV.0, leaves, 3y, G.0, single
phau, PRJNA885524, SRR21762535, control, drought, 2, L.0, 0d, CV.0, leaves, 3y, G.0, single
phau, PRJNA885524, SRR21762536, control, drought, 1, L.0, 0d, CV.0, leaves, 3y, G.0, single
