Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
pima, PRJNA641031, SRR12282624, treated, pi-deficiency, 3, L.0, 48d, CV.0, root, D.0, G.0, single
pima, PRJNA641031, SRR12282625, treated, pi-deficiency, 2, L.0, 48d, CV.0, root, D.0, G.0, single
pima, PRJNA641031, SRR12282627, treated, pi-deficiency, 1, L.0, 48d, CV.0, root, D.0, G.0, single
pima, PRJNA641031, SRR12282628, treated, pi-deficiency, 3, L.0, 48d, CV.0, shoot, D.0, G.0, single
pima, PRJNA641031, SRR12282629, treated, pi-deficiency, 2, L.0, 48d, CV.0, shoot, D.0, G.0, single
pima, PRJNA641031, SRR12282630, treated, pi-deficiency, 1, L.0, 48d, CV.0, shoot, D.0, G.0, single
pima, PRJNA641031, SRR12282631, control, pi-deficiency, 3, L.0, 48d, CV.0, root, D.0, G.0, single
pima, PRJNA641031, SRR12282632, control, pi-deficiency, 2, L.0, 48d, CV.0, root, D.0, G.0, single
pima, PRJNA641031, SRR12282633, control, pi-deficiency, 1, L.0, 48d, CV.0, root, D.0, G.0, single
pima, PRJNA641031, SRR12282634, control, pi-deficiency, 3, L.0, 48d, CV.0, shoot, D.0, G.0, single
pima, PRJNA641031, SRR12282635, control, pi-deficiency, 2, L.0, 48d, CV.0, shoot, D.0, G.0, single
pima, PRJNA641031, SRR12282636, control, pi-deficiency, 1, L.0, 48d, CV.0, shoot, D.0, G.0, single
pima, PRJNA641031, SRR12282638, treated, pi-deficiency, 3, L.0, 36d, CV.0, root, D.0, G.0, single
pima, PRJNA641031, SRR12282639, treated, pi-deficiency, 2, L.0, 36d, CV.0, root, D.0, G.0, single
pima, PRJNA641031, SRR12282640, treated, pi-deficiency, 1, L.0, 36d, CV.0, root, D.0, G.0, single
pima, PRJNA641031, SRR12282641, treated, pi-deficiency, 3, L.0, 36d, CV.0, shoot, D.0, G.0, single
pima, PRJNA641031, SRR12282642, treated, pi-deficiency, 2, L.0, 36d, CV.0, shoot, D.0, G.0, single
pima, PRJNA641031, SRR12282643, treated, pi-deficiency, 1, L.0, 36d, CV.0, shoot, D.0, G.0, single
pima, PRJNA641031, SRR12282644, control, pi-deficiency, 3, L.0, 36d, CV.0, root, D.0, G.0, single
pima, PRJNA641031, SRR12282645, control, pi-deficiency, 2, L.0, 36d, CV.0, root, D.0, G.0, single
pima, PRJNA641031, SRR12282646, control, pi-deficiency, 1, L.0, 36d, CV.0, root, D.0, G.0, single
pima, PRJNA641031, SRR12282647, control, pi-deficiency, 3, L.0, 36d, CV.0, shoot, D.0, G.0, single
pima, PRJNA641031, SRR12282649, control, pi-deficiency, 2, L.0, 36d, CV.0, shoot, D.0, G.0, single
pima, PRJNA641031, SRR12282650, control, pi-deficiency, 1, L.0, 36d, CV.0, shoot, D.0, G.0, single
pima, PRJNA641031, SRR12282651, treated, pi-deficiency, 3, L.0, 24d, CV.0, root, D.0, G.0, single
pima, PRJNA641031, SRR12282652, treated, pi-deficiency, 2, L.0, 24d, CV.0, root, D.0, G.0, single
pima, PRJNA641031, SRR12282653, treated, pi-deficiency, 1, L.0, 24d, CV.0, root, D.0, G.0, single
pima, PRJNA641031, SRR12282654, treated, pi-deficiency, 3, L.0, 24d, CV.0, shoot, D.0, G.0, single
pima, PRJNA641031, SRR12282655, treated, pi-deficiency, 2, L.0, 24d, CV.0, shoot, D.0, G.0, single
pima, PRJNA641031, SRR12282656, treated, pi-deficiency, 1, L.0, 24d, CV.0, shoot, D.0, G.0, single
pima, PRJNA641031, SRR12282657, control, pi-deficiency, 3, L.0, 24d, CV.0, root, D.0, G.0, single
pima, PRJNA641031, SRR12282658, control, pi-deficiency, 2, L.0, 24d, CV.0, root, D.0, G.0, single
pima, PRJNA641031, SRR12282660, control, pi-deficiency, 1, L.0, 24d, CV.0, root, D.0, G.0, single
pima, PRJNA641031, SRR12282661, control, pi-deficiency, 3, L.0, 24d, CV.0, shoot, D.0, G.0, single
pima, PRJNA641031, SRR12282662, control, pi-deficiency, 2, L.0, 24d, CV.0, shoot, D.0, G.0, single
pima, PRJNA641031, SRR12282663, control, pi-deficiency, 1, L.0, 24d, CV.0, shoot, D.0, G.0, single
