Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
pisa, PRJNA801853, SRR17818587, control, amonium-excess, 3, 0mM:0.1mM:3mM, 24h, CV.0, root, 1mo, G.0, single
pisa, PRJNA801853, SRR17818588, control, amonium-excess, 2, 0mM:0.1mM:3mM, 24h, CV.0, root, 1mo, G.0, single
pisa, PRJNA801853, SRR17818589, control, amonium-excess, 1, 0mM:0.1mM:3mM, 24h, CV.0, root, 1mo, G.0, single
pisa, PRJNA801853, SRR17818590, treated, amonium-excess, 2, 3mM, 24h, CV.0, root, 1mo, G.0, single
pisa, PRJNA801853, SRR17818591, treated, amonium-excess, 3, 0.1mM, 24h, CV.0, root, 1mo, G.0, single
pisa, PRJNA801853, SRR17818592, treated, amonium-excess, 1, 0.1mM, 24h, CV.0, root, 1mo, G.0, single
pisa, PRJNA801853, SRR17818593, control, amonium-excess, 2, 0mM:0.1mM:3mM, 2h, CV.0, root, 1mo, G.0, single
pisa, PRJNA801853, SRR17818594, control, amonium-excess, 3, 0mM:0.1mM:3mM, 2h, CV.0, root, 1mo, G.0, single
pisa, PRJNA801853, SRR17818595, treated, amonium-excess, 2, 0.1mM, 24h, CV.0, root, 1mo, G.0, single
pisa, PRJNA801853, SRR17818596, treated, amonium-excess, 1, 3mM, 24h, CV.0, root, 1mo, G.0, single
pisa, PRJNA801853, SRR17818597, treated, amonium-excess, 3, 3mM, 24h, CV.0, root, 1mo, G.0, single
pisa, PRJNA801853, SRR17818598, control, amonium-excess, 1, 0mM:0.1mM:3mM, 2h, CV.0, root, 1mo, G.0, single
pisa, PRJNA801853, SRR17818599, treated, amonium-excess, 2, 3mM, 2h, CV.0, root, 1mo, G.0, single
pisa, PRJNA801853, SRR17818600, treated, amonium-excess, 3, 0.1mM, 2h, CV.0, root, 1mo, G.0, single
pisa, PRJNA801853, SRR17818601, treated, amonium-excess, 1, 0.1mM, 2h, CV.0, root, 1mo, G.0, single
pisa, PRJNA801853, SRR17818603, treated, amonium-excess, 2, 0.1mM, 2h, CV.0, root, 1mo, G.0, single
pisa, PRJNA801853, SRR17818604, treated, amonium-excess, 1, 3mM, 2h, CV.0, root, 1mo, G.0, single
pisa, PRJNA801853, SRR17818605, treated, amonium-excess, 3, 3mM, 2h, CV.0, root, 1mo, G.0, single
