Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
pisa, PRJNA543764, SRR18323754, treated, cold, 2, 8ºC//day-2ºC//night, T2(472degree-days), Champagne, aerial-parts, D.0, G.T, single
pisa, PRJNA543764, SRR18323755, treated, cold, 1, 8ºC//day-2ºC//night, T2(472degree-days), Champagne, aerial-parts, D.0, G.T, single
pisa, PRJNA543764, SRR18323756, treated, cold, 2, 8ºC//day-2ºC//night, T1(386degree-days), Terese, aerial-parts, D.0, G.S, single
pisa, PRJNA543764, SRR18323757, treated, cold, 1, 8ºC//day-2ºC//night, T1(386degree-days), Terese, aerial-parts, D.0, G.S, single
pisa, PRJNA543764, SRR18323758, treated, cold, 2, 8ºC//day-2ºC//night, T0, Terese, aerial-parts, D.0, G.S, single
pisa, PRJNA543764, SRR18323759, treated, cold, 1, 8ºC//day-2ºC//night, T0, Terese, aerial-parts, D.0, G.S, single
pisa, PRJNA543764, SRR18323760, treated, cold, 2, 8ºC//day-2ºC//night, T1(386degree-days), Champagne, aerial-parts, D.0, G.T, single
pisa, PRJNA543764, SRR18323761, control, cold, 2, 20ºC//day-14ºC//night, T2(472degree-days), Terese, aerial-parts, D.0, G.S, single
pisa, PRJNA543764, SRR18323762, control, cold, 1, 20ºC//day-14ºC//night, T2(472degree-days), Terese, aerial-parts, D.0, G.S, single
pisa, PRJNA543764, SRR18323763, control, cold, 2, 20ºC//day-14ºC//night, T2(472degree-days), Champagne, aerial-parts, D.0, G.T, single
pisa, PRJNA543764, SRR18323764, control, cold, 1, 20ºC//day-14ºC//night, T2(472degree-days), Champagne, aerial-parts, D.0, G.T, single
pisa, PRJNA543764, SRR18323765, treated, cold, 1, 8ºC//day-2ºC//night, T1(386degree-days), Champagne, aerial-parts, D.0, G.T, single
pisa, PRJNA543764, SRR18323766, control, cold, 2, 20ºC//day-14ºC//night, T1(386degree-days), Terese, aerial-parts, D.0, G.S, single
pisa, PRJNA543764, SRR18323767, control, cold, 1, 20ºC//day-14ºC//night, T1(386degree-days), Terese, aerial-parts, D.0, G.S, single
pisa, PRJNA543764, SRR18323768, control, cold, 2, 20ºC//day-14ºC//night, T1(386degree-days), Champagne, aerial-parts, D.0, G.T, single
pisa, PRJNA543764, SRR18323769, control, cold, 1, 20ºC//day-14ºC//night, T1(386degree-days), Champagne, aerial-parts, D.0, G.T, single
pisa, PRJNA543764, SRR18323770, control, cold, 2, 20ºC//day-14ºC//night, T0, Terese, aerial-parts, D.0, G.S, single
pisa, PRJNA543764, SRR18323771, control, cold, 1, 20ºC//day-14ºC//night, T0, Terese, aerial-parts, D.0, G.S, single
pisa, PRJNA543764, SRR18323772, control, cold, 2, 20ºC//day-14ºC//night, T0, Champagne, aerial-parts, D.0, G.T, single
pisa, PRJNA543764, SRR18323773, control, cold, 1, 20ºC//day-14ºC//night, T0, Champagne, aerial-parts, D.0, G.T, single
pisa, PRJNA543764, SRR18323774, treated, cold, 2, 8ºC//day-2ºC//night, T2(472degree-days), Terese, aerial-parts, D.0, G.S, single
pisa, PRJNA543764, SRR18323775, treated, cold, 1, 8ºC//day-2ºC//night, T2(472degree-days), Terese, aerial-parts, D.0, G.S, single
pisa, PRJNA543764, SRR18323776, treated, cold, 2, 8ºC//day-2ºC//night, T0, Champagne, aerial-parts, D.0, G.T, single
pisa, PRJNA543764, SRR18323777, treated, cold, 1, 8ºC//day-2ºC//night, T0, Champagne, aerial-parts, D.0, G.T, single
