Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
sahy, PRJNA687913, SRR13355357, treated, potassium-deficiency, 3, L.0, 12h, YT55, stem, seedling, G.0, single
sahy, PRJNA687913, SRR13355358, treated, potassium-deficiency, 1, L.0, 12h, YT55, stem, seedling, G.0, single
sahy, PRJNA687913, SRR13355359, treated, potassium-deficiency, 2, L.0, 6h, YT55, stem, seedling, G.0, single
sahy, PRJNA687913, SRR13355360, control, potassium-deficiency, 3, L.0, 0h, YT55, stem, seedling, G.0, single
sahy, PRJNA687913, SRR13355361, treated, potassium-deficiency, 1, L.0, 6h, YT55, stem, seedling, G.0, single
sahy, PRJNA687913, SRR13355362, treated, potassium-deficiency, 3, L.0, 6h, YT55, stem, seedling, G.0, single
sahy, PRJNA687913, SRR13355363, treated, potassium-deficiency, 2, L.0, 12h, YT55, stem, seedling, G.0, single
sahy, PRJNA687913, SRR13355364, treated, potassium-deficiency, 1, L.0, 24h, YT55, stem, seedling, G.0, single
sahy, PRJNA687913, SRR13355365, treated, potassium-deficiency, 3, L.0, 72h, YT55, stem, seedling, G.0, single
sahy, PRJNA687913, SRR13355366, treated, potassium-deficiency, 1, L.0, 72h, YT55, stem, seedling, G.0, single
sahy, PRJNA687913, SRR13355367, treated, potassium-deficiency, 2, L.0, 48h, YT55, stem, seedling, G.0, single
sahy, PRJNA687913, SRR13355368, treated, potassium-deficiency, 3, L.0, 24h, YT55, stem, seedling, G.0, single
sahy, PRJNA687913, SRR13355369, treated, potassium-deficiency, 2, L.0, 24h, YT55, stem, seedling, G.0, single
sahy, PRJNA687913, SRR13355370, treated, potassium-deficiency, 1, L.0, 48h, YT55, stem, seedling, G.0, single
sahy, PRJNA687913, SRR13355371, treated, potassium-deficiency, 3, L.0, 48h, YT55, stem, seedling, G.0, single
sahy, PRJNA687913, SRR13355372, treated, potassium-deficiency, 2, L.0, 72h, YT55, stem, seedling, G.0, single
sahy, PRJNA687913, SRR13355373, control, potassium-deficiency, 2, L.0, 0h, YT55, stem, seedling, G.0, single
sahy, PRJNA687913, SRR13355374, control, potassium-deficiency, 1, L.0, 0h, YT55, stem, seedling, G.0, single
