Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
soly, PRJNA401508, SRR6025761, treated, globodera-rostochiensis, 2, L.0, 3d, Moneymaker, root, D.0, G.0, single
soly, PRJNA401508, SRR6025762, control, globodera-rostochiensis, 2, L.0, 3d, Moneymaker, root, D.0, G.0, single
soly, PRJNA401508, SRR6025763, treated, globodera-rostochiensis, 1, L.0, 10d, Moneymaker, root, D.0, G.0, single
soly, PRJNA401508, SRR6025764, control, globodera-rostochiensis, 1, L.0, 10d, Moneymaker, root, D.0, G.0, single
soly, PRJNA401508, SRR6025765, treated, globodera-rostochiensis, 1, L.0, 7d, Moneymaker, root, D.0, G.0, single
soly, PRJNA401508, SRR6025766, control, globodera-rostochiensis, 1, L.0, 7d, Moneymaker, root, D.0, G.0, single
soly, PRJNA401508, SRR6025767, treated, globodera-rostochiensis, 1, L.0, 3d, Moneymaker, root, D.0, G.0, single
soly, PRJNA401508, SRR6025768, control, globodera-rostochiensis, 1, L.0, 3d, Moneymaker, root, D.0, G.0, single
soly, PRJNA401508, SRR6025769, control, globodera-rostochiensis, 2, L.0, 7d, Moneymaker, root, D.0, G.0, single
soly, PRJNA401508, SRR6025770, treated, globodera-rostochiensis, 2, L.0, 7d, Moneymaker, root, D.0, G.0, single
soly, PRJNA401508, SRR6025771, control, globodera-rostochiensis, 5, L.0, 10d, Moneymaker, root, D.0, G.0, single
soly, PRJNA401508, SRR6025772, control, globodera-rostochiensis, 4, L.0, 10d, Moneymaker, root, D.0, G.0, single
soly, PRJNA401508, SRR6025773, treated, globodera-rostochiensis, 5, L.0, 10d, Moneymaker, root, D.0, G.0, single
soly, PRJNA401508, SRR6025774, treated, globodera-rostochiensis, 4, L.0, 10d, Moneymaker, root, D.0, G.0, single
soly, PRJNA401508, SRR6025775, control, globodera-rostochiensis, 4, L.0, 7d, Moneymaker, root, D.0, G.0, single
soly, PRJNA401508, SRR6025776, control, globodera-rostochiensis, 3, L.0, 7d, Moneymaker, root, D.0, G.0, single
soly, PRJNA401508, SRR6025777, treated, globodera-rostochiensis, 4, L.0, 7d, Moneymaker, root, D.0, G.0, single
soly, PRJNA401508, SRR6025778, control, globodera-rostochiensis, 4, L.0, 3d, Moneymaker, root, D.0, G.0, single
soly, PRJNA401508, SRR6025779, treated, globodera-rostochiensis, 3, L.0, 7d, Moneymaker, root, D.0, G.0, single
soly, PRJNA401508, SRR6025780, treated, globodera-rostochiensis, 5, L.0, 3d, Moneymaker, root, D.0, G.0, single
soly, PRJNA401508, SRR6025781, control, globodera-rostochiensis, 3, L.0, 3d, Moneymaker, root, D.0, G.0, single
soly, PRJNA401508, SRR6025782, treated, globodera-rostochiensis, 3, L.0, 3d, Moneymaker, root, D.0, G.0, single
soly, PRJNA401508, SRR6025783, treated, globodera-rostochiensis, 4, L.0, 3d, Moneymaker, root, D.0, G.0, single
soly, PRJNA401508, SRR6025784, control, globodera-rostochiensis, 2, L.0, 10d, Moneymaker, root, D.0, G.0, single
soly, PRJNA401508, SRR6025785, control, globodera-rostochiensis, 3, L.0, 10d, Moneymaker, root, D.0, G.0, single
soly, PRJNA401508, SRR6025786, treated, globodera-rostochiensis, 2, L.0, 10d, Moneymaker, root, D.0, G.0, single
soly, PRJNA401508, SRR6025787, treated, globodera-rostochiensis, 3, L.0, 10d, Moneymaker, root, D.0, G.0, single
