Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
sotu, PRJNA914898, SRR22860242, treated, pstvd, 1, L.0, 30d, Sarpo-Mira, leaves, D.0, G.0, single
sotu, PRJNA914898, SRR22860243, treated, pstvd, 2, L.0, 30d, Sarpo-Mira, leaves, D.0, G.0, single
sotu, PRJNA914898, SRR22860244, treated, pstvd, 3, L.0, 30d, Sarpo-Mira, leaves, D.0, G.0, single
sotu, PRJNA914898, SRR22860245, treated, pstvd, 1, L.0, 14d, Sarpo-Mira, leaves, D.0, G.0, single
sotu, PRJNA914898, SRR22860246, treated, pstvd, 2, L.0, 14d, Sarpo-Mira, leaves, D.0, G.0, single
sotu, PRJNA914898, SRR22860247, treated, pstvd, 3, L.0, 14d, Sarpo-Mira, leaves, D.0, G.0, single
sotu, PRJNA914898, SRR22860248, control, pstvd, 1, L.0, 0d, Sarpo-Mira, leaves, D.0, G.0, single
sotu, PRJNA914898, SRR22860249, control, pstvd, 2, L.0, 0d, Sarpo-Mira, leaves, D.0, G.0, single
sotu, PRJNA914898, SRR22860250, treated, pstvd, 1, L.0, T.0, Sarpo-Mira, tuber, D.0, G.0, single
sotu, PRJNA914898, SRR22860252, treated, pstvd, 2, L.0, T.0, Sarpo-Mira, tuber, D.0, G.0, single
sotu, PRJNA914898, SRR22860253, treated, pstvd, 3, L.0, T.0, Sarpo-Mira, tuber, D.0, G.0, single
sotu, PRJNA914898, SRR22860254, control, pstvd, 1, L.0, T.0, Sarpo-Mira, tuber, D.0, G.0, single
sotu, PRJNA914898, SRR22860255, control, pstvd, 2, L.0, T.0, Sarpo-Mira, tuber, D.0, G.0, single
sotu, PRJNA914898, SRR22860256, control, pstvd, 3, L.0, T.0, Sarpo-Mira, tuber, D.0, G.0, single
