Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
vivi, PRJNA814871, SRR18298546, control, funneliformis-mosseae&heat:heat, 1, 25//18ºC(day//night):f25//40ºC(day//night), T.0, Touriga-Nacional, leaves, young, G.0, single
vivi, PRJNA814871, SRR18298547, control, rhizoglomus-irregulare&heat:heat, 3, 25//18ºC(day//night):r25//40ºC(day//night), T.0, Touriga-Nacional, leaves, young, G.0, single
vivi, PRJNA814871, SRR18298548, control, rhizoglomus-irregulare&heat:heat, 2, 25//18ºC(day//night):r25//40ºC(day//night), T.0, Touriga-Nacional, leaves, young, G.0, single
vivi, PRJNA814871, SRR18298549, control, rhizoglomus-irregulare&heat:heat, 1, 25//18ºC(day//night):r25//40ºC(day//night), T.0, Touriga-Nacional, leaves, young, G.0, single
vivi, PRJNA814871, SRR18298553, treated, heat, 3, f25//40ºC(day//night), T.0, Touriga-Nacional, leaves, young, G.0, single
vivi, PRJNA814871, SRR18298554, treated, heat, 2, f25//40ºC(day//night), T.0, Touriga-Nacional, leaves, young, G.0, single
vivi, PRJNA814871, SRR18298555, treated, heat, 1, f25//40ºC(day//night), T.0, Touriga-Nacional, leaves, young, G.0, single
vivi, PRJNA814871, SRR18298556, treated, heat, 3, r25//40ºC(day//night), T.0, Touriga-Nacional, leaves, young, G.0, single
vivi, PRJNA814871, SRR18298558, treated, heat, 2, r25//40ºC(day//night), T.0, Touriga-Nacional, leaves, young, G.0, single
vivi, PRJNA814871, SRR18298559, treated, heat, 1, r25//40ºC(day//night), T.0, Touriga-Nacional, leaves, young, G.0, single
vivi, PRJNA814871, SRR18298560, treated, funneliformis-mosseae&heat, 3, f25//40ºC(day//night), T.0, Touriga-Nacional, leaves, young, G.0, single
vivi, PRJNA814871, SRR18298561, treated, funneliformis-mosseae&heat, 2, f25//40ºC(day//night), T.0, Touriga-Nacional, leaves, young, G.0, single
vivi, PRJNA814871, SRR18298562, treated, funneliformis-mosseae&heat, 1, f25//40ºC(day//night), T.0, Touriga-Nacional, leaves, young, G.0, single
vivi, PRJNA814871, SRR18298563, treated, rhizoglomus-irregulare&heat, 3, r25//40ºC(day//night), T.0, Touriga-Nacional, leaves, young, G.0, single
vivi, PRJNA814871, SRR18298564, treated, rhizoglomus-irregulare&heat, 2, r25//40ºC(day//night), T.0, Touriga-Nacional, leaves, young, G.0, single
vivi, PRJNA814871, SRR18298565, treated, rhizoglomus-irregulare&heat, 1, r25//40ºC(day//night), T.0, Touriga-Nacional, leaves, young, G.0, single
vivi, PRJNA814871, SRR18298566, control, funneliformis-mosseae&heat:heat, 3, 25//18ºC(day//night):f25//40ºC(day//night), T.0, Touriga-Nacional, leaves, young, G.0, single
vivi, PRJNA814871, SRR18298567, control, funneliformis-mosseae&heat:heat, 2, 25//18ºC(day//night):f25//40ºC(day//night), T.0, Touriga-Nacional, leaves, young, G.0, single
