Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
zema, PRJNA294848, SRR2287031, control, drought, 1, L.0, T.0, AC7643, root, three-leaf-stage, G.T, single
zema, PRJNA294848, SRR2287159, treated, drought, 1, L.0, T.0, AC7643, root, three-leaf-stage, G.T, single
zema, PRJNA294848, SRR2287160, control, drought, 1, L.0, T.0, AC7729/TZSRW, root, three-leaf-stage, G.S, single
zema, PRJNA294848, SRR2287161, treated, drought, 1, L.0, T.0, AC7729/TZSRW, root, three-leaf-stage, G.S, single
zema, PRJNA294848, SRR2287162, control, drought, 1, L.0, T.0, RIL208, root, three-leaf-stage, G.0, single
zema, PRJNA294848, SRR2287163, treated, drought, 1, L.0, T.0, RIL208, root, three-leaf-stage, G.0, single
zema, PRJNA294848, SRR2287164, treated, drought, 1, L.0, T.0, RIL64, root, three-leaf-stage, G.0, single
zema, PRJNA294848, SRR2287165, control, drought, 1, L.0, T.0, RIL64, root, three-leaf-stage, G.0, single
zema, PRJNA294848, SRR4237220, control, drought, 2, L.0, T.0, AC7643, root, three-leaf-stage, G.T, single
zema, PRJNA294848, SRR4237221, treated, drought, 2, L.0, T.0, AC7643, root, three-leaf-stage, G.T, single
zema, PRJNA294848, SRR4237222, control, drought, 2, L.0, T.0, AC7729/TZSRW, root, three-leaf-stage, G.S, single
zema, PRJNA294848, SRR4237223, treated, drought, 2, L.0, T.0, AC7729/TZSRW, root, three-leaf-stage, G.S, single
zema, PRJNA294848, SRR4237224, control, drought, 2, L.0, T.0, RIL208, root, three-leaf-stage, G.0, single
zema, PRJNA294848, SRR4237225, treated, drought, 2, L.0, T.0, RIL208, root, three-leaf-stage, G.0, single
zema, PRJNA294848, SRR4237226, control, drought, 2, L.0, T.0, RIL64, root, three-leaf-stage, G.0, single
zema, PRJNA294848, SRR4237227, treated, drought, 2, L.0, T.0, RIL64, root, three-leaf-stage, G.0, single
