Species_name,miRBase_id,PmiREN_id,sRNAanno_id,Final_id
Acacia auriculiformis,aau,NULL,NULL,aau
Acacia mangium,amg,NULL,NULL,amg
Actinidia chinensis,NULL,ach,ach,ach
Aegilops tauschii,ata,NULL,ata,ata
Amborella trichopoda,atr,atr,atr,atr
Ananas comosus,NULL,NULL,aco,aco
Antirrhinum majus,NULL,NULL,amj,amj
Aquilegia caerulea,aqc,NULL,NULL,aqc
Arabidopsis halleri,NULL,aha,NULL,aha
Arabidopsis lyrata,aly,aly,aly,aly
Arabidopsis thaliana,ath,ath,ath,ath
Arachis duranensis,NULL,NULL,adu,adu
Arachis hypogaea,ahy,NULL,NULL,ahy
Arachis ipaensis,NULL,NULL,aip,aip
Arachis monticola,NULL,NULL,amo,amo
Asparagus officinalis,aof,aof,aof,aof
Avicennia marina,ama,NULL,NULL,ama
Azolla filiculoides,NULL,NULL,afi,afi
Beta vulgaris,NULL,NULL,bvu,bvu
Betula pendula,NULL,NULL,bpe,bpe
Boehmeria nivea,NULL,NULL,bnv,bnv
Brachypodium distachyon,bdi,bdi,bdi,bdi
Brassica juncea,NULL,bju,bju,bju
Brassica napus,bna,bna,bna,bna
Brassica nigra,NULL,bni,bni,bni
Brassica oleracea,bol,bol,bol,bol
Brassica rapa,bra,bra,bra,bra
Bruguiera cylindrica,bcy,NULL,NULL,bcy
Bruguiera gymnorhiza,bgy,NULL,NULL,bgy
Cajanus cajan,NULL,NULL,ccj,ccj
Camelina sativa,cas,NULL,cas,cas
Camellia sinensis,NULL,NULL,csn,csn
Capsella rubella,NULL,cru,cru,cru
Capsicum annuum,NULL,can,can,can
Carica papaya,cpa,cpa,cpa,cpa
Carthamus tinctorius,NULL,cti,NULL,cti
Catharanthus roseus,NULL,NULL,cro,cro
Cenchrus americanus,NULL,NULL,cam,cam
Cephalotus follicularis,NULL,NULL,cfo,cfo
Chenopodium quinoa,NULL,NULL,cqu,cqu
Chlamydomonas reinhardtii,cre,cre,cre,cre
Chrysanthemum nankingense,NULL,NULL,cna,cna
Cicer arietinum,NULL,car,car,car
Cicer reticulatum,NULL,NULL,cri,cri
Citrullus lanatus,NULL,cla,cla,cla
Citrus clementina,ccl,ccl,ccl,ccl
Citrus grandis,NULL,NULL,cgr,cgr
Citrus maxima,NULL,cit,NULL,cit
Citrus reticulata,crt,NULL,crt,crt
Citrus sinensis,csi,csi,csi,csi
Citrus trifoliata,ctr,NULL,NULL,ctr
Cocos nucifera,NULL,NULL,cnu,cnu
Coffea arabica,NULL,NULL,caa,caa
Coffea canephora,NULL,NULL,ccn,ccn
Cucumis melo,cme,cme,cme,cme
Cucumis sativus,cst,csa,cst,cst
Cucurbita maxima,NULL,cma,cma,cma
Cucurbita moschata,NULL,cmo,cmo,cmo
Cucurbita pepo,NULL,NULL,cpe,cpe
Cunninghamia lanceolata,cln,NULL,NULL,cln
Cuscuta campestris,NULL,NULL,ccm,ccm
Cynara cardunculus,cca,NULL,NULL,cca
Daucus carota,NULL,NULL,dca,dca
Dendrobium catenatum,NULL,NULL,dct,dct
Dendrobium officinale,NULL,NULL,dof,dof
Digitalis purpurea,dpr,NULL,NULL,dpr
Dimocarpus longan,NULL,NULL,dlo,dlo
Elaeis guineensis,egu,NULL,egu,egu
Eleusine coracana,NULL,NULL,eco,eco
Eragrostis tef,NULL,NULL,ete,ete
Erythranthe guttata,NULL,egu,NULL,egt
Eucalyptus grandis,NULL,NULL,egr,egr
Eugenia uniflora,eun,NULL,NULL,eun
Eutrema salsugineum,NULL,esa,esa,esa
Fagopyrum esculentum,NULL,NULL,fes,fes
Fagus sylvatica,NULL,fsy,NULL,fsy
Festuca arundinacea,far,NULL,NULL,far
Fragaria ananassa,NULL,fan,fan,fan
Fragaria vesca,fve,fve,fve,fve
Fraxinus excelsior,NULL,fex,NULL,fex
Ginkgo biloba,NULL,gbi,gbi,gbi
Glycine max,gma,gma,gma,gma
Glycine soja,gso,NULL,gso,gso
Gossypium arboreum,gar,gar,gar,gar
Gossypium barbadense,NULL,gba,gba,gba
Gossypium herbaceum,ghb,NULL,NULL,ghb
Gossypium hirsutum,ghr,ghi,ghr,ghr
Gossypium raimondii,gra,NULL,gra,gra
Helianthus annuus,han,NULL,han,han
Helianthus argophyllus,har,NULL,NULL,har
